player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
anthony-wilson,Anthony Wilson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,14.0,0.0,25.0,2.0,,,,,,,,,,,
axel-perez,Axel Perez,K,,,,1.0,0.0,0.0,,,,,,8.0,50.0,0.0,2.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
caleb-shudak,Caleb  Shudak,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
calvin-lowe,Calvin Lowe,WR,,,,,,,,,,0.0,,,,,,,,,,,,22.0,15.0,,45.0,6.0,238.0,,,,,,8.8,12.0,4.0,2.0,35.0,,,,,,
christian-stokley,Christian Stokley,WR,,,,,,,,,,,3.0,,,,,,,13.7,22.0,0.0,41.0,,,,,,,8.3,10.0,0.0,25.0,3.0,3.3,11.0,10.0,1.0,33.0,,,,,,
dnerius-antoine,D'Nerius Antoine,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
daniel-byse,DANIEL BYSE,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,45.0,2.0,48.0,2.0,,,,,,0.0,1.0,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,12.0,0.0,71.0,10.0,2.1,5.0,8.0,2.0,17.0,,,,,,
donnell-brown,Donnell Brown,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
emanuel-aquilar-medrano,Emanuel Aquilar-Medrano,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
eric-thomas-jr,Eric Thomas Jr.,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,44.0,1.0,113.0,5.0,,,,,,,,,,,
jakaylen-jackson,Jakaylen Jackson,DB,,,,,,,,,,0.0,,,,,,,,,,,,7.0,5.0,,17.0,0.0,51.0,,,,,,,,,,,,,,,,
jayshawn-washington,Jayshawn Washington,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
jazeric-peterson,Jazeric Peterson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,2.0,45.0,3.0,13.0,13.0,1.0,0.0,13.0,1.0,1.0,1.0,0.0,,
jordus-smith,Jordus Smith,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,5.0,,,,
juwan-johnson,Juwan Johnson,TE,,,,,,,,,,,1.0,,,,,,,11.0,11.0,0.0,11.0,,,,,,,6.0,6.0,0.0,6.0,1.0,2.0,5.0,3.0,0.0,6.0,,,,,,
kavon-samuels,Kavon Samuels,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
kerry-starks,Kerry Starks,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
