player_id,player_name,positions,attempts,avg,long,td,yards
kazuyuki-maeda,Kazuyuki Maeda,,17.0,12.2,20.0,1.0,207.0
kenjirō-horikawa,Kenjirō Horikawa,,15.0,12.9,37.0,2.0,194.0
kichinoshin-hase,Kichinoshin Hase,,44.0,5.2,22.0,1.0,230.0
kōji-sugisawa,Kōji Sugisawa,,78.0,4.5,42.0,2.0,348.0
kōji-umeda,Kōji Umeda,,12.0,14.8,31.0,1.0,177.0
manabu-tatsumura,Manabu Tatsumura,,83.0,69.9,843.0,70.0,58.0
masahiro-kanehara,Masahiro Kanehara,,16.0,8.9,21.0,,142.0
masatoshi-hanafusa,Masatoshi Hanafusa,,46.0,4.8,36.0,2.0,223.0
motoki-yoshida,Motoki Yoshida,,64.0,6.3,43.0,,403.0
satoru-hirate,Satoru Hirate,,69.0,6.1,34.0,2.0,421.0
seiichirō-kishi,Seiichirō Kishi,,25.0,11.6,42.0,2.0,290.0
susumu-fukuda,Susumu Fukuda,,13.0,10.3,16.0,,134.0
sō-ninomiya,Sō Ninomiya,,21.0,11.7,23.0,,245.0
takashi-kamijō,Takashi Kamijō,,18.0,12.8,30.0,1.0,231.0
takurō-yamamoto,Takurō Yamamoto,,12.0,16.5,34.0,,198.0
teppei-noguchi,Teppei Noguchi,,15.0,9.3,22.0,1.0,139.0
teruhiro-ura,Teruhiro Ura,,18.0,10.2,21.0,1.0,183.0
tetsuji-matsushita,Tetsuji Matsushita,,24.0,11.0,39.0,2.0,263.0
toshio-kataoka,Toshio Kataoka,,35.0,6.5,27.0,,228.0
tsutomu-takeda,Tsutomu Takeda,,13.0,12.8,45.0,2.0,166.0
wataru-natsume,Wataru Natsume,,99.0,56.6,726.0,53.0,56.0
yoshinobu-ikari,Yoshinobu Ikari,,16.0,8.9,26.0,1.0,142.0
yukiharu-isoya,Yukiharu Isoya,,59.0,5.9,34.0,2.0,350.0
yūsuke-shinshi,Yūsuke Shinshi,,27.0,8.1,75.0,2.0,218.0
