player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kicking_deuce,kicking_pat,kicking_pat_att,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
adyn-schwarzer,Adyn Schwarzer,LB,4.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,3.0
brandon-munoz,Brandon Munoz,DL,2.0,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0
camerion-carrathus,Camerion Carrathus,WR,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,13.0,21.0,0.0,0.0,25.0,2.0,,,,,,,0.0,0.0,1.0
cameron-alves,Cameron Alves,WR,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,,,,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
charles-smith,Charles Smith,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,4.0,1.0,,,,,,,,,
chase-contreraz,Chase Contreraz,K,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
chris-perry,Chris Perry,DB,0.0,,1.0,0.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0
dajon-richard,Dajon Richard,ATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,23.0,0.0,1.0,43.0,5.0,1.0,11.0,9.0,0.0,1.0,12.0,,,
david-francis,David Francis,DL,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
david-ross,David Ross,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,5.0,2.0,4.0,11.0,7.0,0.0,0.0,26.0,,,
