player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
bradyn-jasper,Bradyn Jasper,LB,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,5.0,,,,2.0,,,,,,,,3.0,,0.5,,,,2.0
brandon-fuentes,Brandon Fuentes,DB,,,,,,,,8.0,,4.0,,,,,,,,,,,,,,,,32.0,,,,6.0,,,,,,,,26.0,,0.0,,,,2.0
brian-foy-jr,Brian Foy Jr,DB,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,9.0,,0.0,,,,0.0
cameron-carter,Cameron Carter,OL,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.7,,0.0,,,,0.0
cassim-forbes,Cassim Forbes,LB,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,20.0,,,,8.0,,,,,,,,12.0,,0.0,,,,1.0
cris-page,Cris Page,DB,,,,,,,,5.0,,2.2,,,,,,,,,,,,,,,,11.0,,,,0.0,,,,,,,,11.0,,0.0,,,,0.0
dj-myers,D.J. Myers,WR,,,,,,1.0,1.0,102.0,,6.0,,,,,,,,,,,,,,,,17.0,11.3,37.0,17.0,734.0,81.6,65.0,7.2,,0.0,0.0,0.0,11.3,0.0,734.0,,,,81.6
darius-tolbert,Darius Tolbert,OL,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,1.0,19.0,19.0,0.0,19.0,6.3,1.0,0.3,,,,,1.0,,19.0,,,,6.3
desmond-maxwell,Desmond  Maxwell,FB/LB/RB,,,,,,1.0,1.0,42.0,,0.0,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,7.0,-0.1,1.0,0.1,3.8,24.0,56.0,7.0,211.0,30.1,210.0,,,,30.0
dezmond-epps,Dezmond Epps,,,,,,,,,24.0,,83.0,0.0,0.0,30.0,16.6,,,,,,,,,,0.0,0.0,4.0,10.9,28.0,4.0,228.0,76.0,21.0,7.0,,,,,8.0,,311.0,,,,103.7
