player_id,player_name,positions,interceptions,passing_tds,passing_yards,recceiving_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
adrian-adams,Adrian Adams,WR,,,,,4.0,160.0,14.0,,
billings-qb,BILLINGS QB,QB,,6.0,249.0,,,,,,11.0
deshon-williams,Deshon  Williams,WR/TE,,,,,2.0,60.0,4.0,0.0,8.0
jamaar-moore,Jamaar Moore,WR,,,,,0.0,12.0,2.0,,
jevin-frett,Jevin Frett,WR,,,,114.0,4.0,114.0,20.0,,
joseph-hess,Joseph Hess,QB,0.0,0.0,0.0,,,,,,
josh-meier,Josh Meier,WR,,,,,0.0,40.0,4.0,,
keith-nemasango,Keith Nemasango,RB,,,,,,,,2.0,2.0
kenneth-brewer,Kenneth Brewer,WR,,,,,2.0,49.0,4.0,,
ledarian-mcallister,Ledarian Mcallister,WR,,,,,0.0,26.0,4.0,,
shawn-mcfarland,Shawn Mcfarland,RB,,,,,,,,0.0,54.0
washington-qb,WASHINGTON QB,QB,,1.0,63.0,,,,,2.0,63.0
