player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,DB/FS,,,,,,,,,,2.0
ajene-harris,Ajene Harris,DB/CB,,,1.0,,,,,,,1.0
ben-putman,Ben Putman,WR,,,,,1.0,1.0,,,,
brandon-arconado,Brandon Arconado,WR,,,,,19.0,3.0,,,,
brian-herrien,Brian Herrien,RB,,,,,47.0,5.0,,6.0,,
bruce-hector,Bruce Hector,DL/DT,,,,,,,,,,3.0
bunmi-rotimi,Bunmi Rotimi,DL/DT/DB/OLB,,,,,,,,,,3.0
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,,,1.0
caleb-vander-esch,Caleb Vander Esch,WR,,,,,24.0,2.0,,,,
cedric-byrd,Cedric Byrd,WR,,,,,24.0,2.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,1.0
cole-mcdonald,Cole McDonald,QB,1.0,,,120.0,,,1.0,66.0,,
darnell-sankey,Darnell Sankey,DB/LB,,,,,,,,,,8.0
devante-bausby,De\'Vante Bausby,DB/CB,,,,,,,,,,2.0
deandre-johnson-2,Deandre Johnson,OLB/LB,,,,,,,,,,2.0
garrett-owens,Garrett Owens,TE,,,,,,,,4.0,,
glen-logan,Glen Logan,DL/DT,,,,,,,,,,2.0
joe-powell,Joe Powell,SAF/DB/LB,,,,,,,,,,7.0
john-brannon,John Brannon,DB,,,1.0,,,,,,,2.0
john-daka,John Daka,DL/LB,,,,,,,,,,2.0
jordan-mosley,Jordan Mosley,SS/DB,,,,,,,,,,6.0
josiah-coatney,Josiah Coatney,DL,,,,,,,,,,3.0
justin-smith,Justin Smith,WR,,,,,51.0,3.0,,,,
kaleb-eleby,Kaleb Eleby,QB,,,,28.0,,,,6.0,,
leddie-brown,Leddie Brown,RB,,,,,22.0,2.0,,29.0,,
luis-perez,Luis Perez,QB,1.0,,,205.0,,,,20.0,,
raleigh-texada,Raleigh Texada,DB,,,1.0,,,,,,,1.0
rannell-hall-2,Rannell Hall,WR,,,,,19.0,3.0,,,,
renegades-qb,Renegades QB,QB,1.0,,,205.0,,,,20.0,,
roughnecks-dst,Roughnecks DST,DST,,1.0,,,,,,,2.0,
roughnecks-qb,Roughnecks QB,QB,1.0,,,148.0,,,1.0,72.0,,
sal-cannella,Sal Cannella,TE,,,,,41.0,3.0,,,,
shakur-brown,Shakur Brown,DB/CB,,,,,,,,,,4.0
tj-barnes,T.J. Barnes,DL/DT/DB,,,,,,,,,,3.0
tavante-beckett,Tavante Beckett,LB,,1.0,1.0,,,,,,,6.0
travell-harris,Travell Harris,WR,,,,,25.0,4.0,,,,
trent-harris,Trent Harris,LB/DE,,,,,,,,,1.0,3.0
trevon-mason,Trevon Mason,DL,,,,,,,,,1.0,4.0
tyler-vaughns,Tyler Vaughns,WR,,,,,33.0,4.0,,,,
will-hill,Will Hill,DB,,,,,,,,,,6.0
william-likely,William Likely,DB,,,,,,,,,,4.0
