player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
akwasi-owusu-ansah,Akwasi Owusu-Ansah,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,,1.0,7.0,7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,2.0,2.0,,13.0,7.0,1.0,,21.0,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,,,,,12.0,4.0,6.0,,19.0,29.0,,,,,,,1.0,5.0,,5.0,1.0,,,2.0,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,23.0,2.0,2.0,,15.0,42.0,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,24.0,19.0,,,34.0,5.0,3.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-harris,Brandon Harris,DB,,,1.0,3.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,,,,,,,5.0,12.0,,25.0,,,,,,,,,,,,
bryan-hall,Bryan Hall,DL/DB,,,1.0,2.0,2.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam-mcdaniel,Cam McDaniel,RB,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,29.0,1.0,3.0,,3.0,,,,,,,,,,,,
cassius-vaughn,Cassius Vaughn,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,,1.0,2.0,2.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,11.0,6.0,,41.0,,,,75.0,,,,,,,,,,,,,8.0,,1.0,55.0,,,,6.0,1.0,1.0,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,4.0,4.0,1.0,31.0,76.0,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
declan-cross,Declan Cross,RB/FB,,,,1.0,1.0,,,,,,,,,,,8.0,1.0,2.0,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DB/DT,,,2.0,4.0,4.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jameer-thurman,Jameer Thurman,LB,1.0,28.0,,7.0,7.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-vaughters,James Vaughters,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,,,,11.0,2.0,2.0,,18.0,18.0,,,,,,,4.0,20.0,,27.0,,,,,,,,,,,,
jeff-fuller,Jeff Fuller,WR,,,,,,,,,,,,,,,,11.0,3.0,9.0,,,27.0,,,,,,,,,,,,,,,,,,,,,,
jeffrey-finley,Jeffrey Finley,DB,,,2.0,5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerome-messam,Jerome Messam,RB,,,,,,,,,,,,,,,,7.0,2.0,2.0,,12.0,14.0,,,,,,,10.0,18.0,1.0,76.0,,,,6.0,1.0,1.0,,,,,,
jonathan-woods,Jonathan Woods,LB,,,1.0,9.0,9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-tuggle,Justin Tuggle,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khalil-paden,Khalil Paden,WR,,,,,,,,,,,,,,,,30.0,2.0,5.0,,12.0,39.0,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,20.0,1.0,1.0,,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,
