player_id,player_name,positions,fg_made,pass_td,recv_td,return_td,rush_td
brandon-munoz,Brandon Munoz,DL,,1.0,,,1.0
chris-elmore,Chris  Elmore,RB,,,,1.0,
dawandrick-crockett,Dawandrick Crockett,DB,,,,,2.0
dee-reese,Dee Reese,DB,,,1.0,,
dren-johnson,Dren Johnson,DB,,1.0,,,
tyre-williams,Tyre Williams,,,,1.0,,
zuri-davis,Zuri Davis,WR,2.0,,,,
