player_id,player_name,positions,def_ast,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yds
david-dean,David Dean,DB/DT,3.0,1.0,4.0,,,,
earl-okine,Earl Okine,DB/DL/LB,2.0,1.0,3.0,,,,
jalin-marshall,Jalin Marshall,,,,,15.0,4.0,6.0,26.0
