player_id,player_name,positions,def_ast,def_solo,def_tot,pass_att,recv_lg,recv_rec,recv_tar,recv_td,recv_yds,score_p,score_pts,score_tot
earl-okine,Earl Okine,DL/DB/LB,3.0,2.0,5.0,,,,,,,,,
jalin-marshall,Jalin Marshall,WR,,,,1.0,57.0,3.0,4.0,1.0,84.0,1.0,6.0,1.0
nick-temple,Nick Temple,LB/DB,2.0,1.0,3.0,,,,,,,,,
