player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-kekua,Alexander Kekua,OL,7.0,1.0,0.0,,,,,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,13.0,0.5,0.0,,
ashton-henry,Ashton Henry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,30.0,0.0,32.0,2.0,,,,,,,,,,,,,
brandon-munoz,Brandon Munoz,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.5,0.0,1.0,0.5,0.0,,
byron-cooper,Byron Cooper,LB,,,,,,,,,,,,2.0,,,,,,,,,,,,26.0,20.0,,26.0,5.0,198.0,,,,,,3.6,11.0,9.0,2.0,32.0,,,,,,,,
cameron-alves,Cameron Alves,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.0,,
cameron-george,Cameron George,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
charles-smith,Charles Smith,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
chase-baker,Chase Baker,OL,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,15.5,19.0,0.0,31.0,2.0,2.0,4.0,2.0,1.0,4.0,,,,,,,,
chris-chukwuneke,Chris Chukwuneke,,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
demario-mays,Demario Mays,DB,0.0,,,,,,,,,,,,2.0,,,,,,,30.5,39.0,0.0,61.0,,,,,,,10.9,21.0,1.0,76.0,7.0,5.6,16.0,9.0,1.0,50.0,,,1.0,1.0,,,,
demetrich-anderton,Demetrich Anderton,OL,,,,,,,,,,,,,1.0,,,,,,,4.0,4.0,0.0,4.0,,,,,,,10.1,28.0,3.0,81.0,8.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
devonte-omalley,Devonte O\'MALLEY,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.5,2.0,3.0,2.5,0.0,,
failauga-peleti,Failauga Peleti,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,,
fred-hardgrove,Fred Hardgrove,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,20.0,3.0,69.0,7.0,0.0,0.0,1.0,0.0,0.0,,,1.0,1.0,,,,
gabriel-reed,Gabriel Reed,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,4.0,,,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,1.0,28.0,4.0,,,,,,,,,,,,,
james-pitre,James Pitre,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,0.0,,,,,,,,,,,,34.0,20.0,,34.0,6.0,250.0,,,,,,2.0,17.0,7.0,1.0,14.0,,,,,,,,
javon-hayes,Javon Hayes,,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
josh-gable,Josh Gable,,,,,,,,1.0,1.0,,,,,,7.0,43.0,0.0,1.0,387.0,9.0,,,,,,,,,,,,,,,,-3.0,0.0,1.0,0.0,-3.0,,,,,,,8.0,7.0
kameronn-joseph,Kameronn Joseph,WR,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,14.7,34.0,3.0,88.0,6.0,,,,,,,,,,,,,
kendall-bohler,Kendall Bohler,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
kendrick-tutt,Kendrick Tutt,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
kollin-jackson,Kollin Jackson,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,0.0,20.0,2.0,,,,,,,,,,,,,
markel-roby,Markel Roby,S/SAF,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,5.0,,,,
matt-struck,Matt Struck,QB,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,6.0,,,,,,,14.7,29.0,0.0,88.0,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
myran-mounds,Myran Mounds,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,6.0,,,,
raheem-harvey,Raheem Harvey,WR,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
riley-stapleton,Riley Stapleton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,10.0,0.0,17.0,2.0,0.0,4.0,2.0,0.0,0.0,,,,,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,,,,,,,,,,,,,,4.0,50.0,0.0,6.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0
samuel-seward,Samuel Seward,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
