player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,,,,,,,,,,,3.0,,,,,,,16.3,20.0,0.0,49.0,,,,,,,6.6,13.0,2.0,46.0,7.0,-2.0,0.0,1.0,0.0,-2.0,,,,,,
bemnet-morgan,Bemnet Morgan,DB,,,,,,,,,,1.0,,,,,,,,,,,,27.0,22.0,,33.0,9.0,276.0,,,,,,,,,,,,,,,,
brandon-scott,Brandon Scott,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,15.0,1.0,41.0,6.0,4.6,9.0,9.0,0.0,41.0,,,,,,
brean-michel,Brean Michel,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
caleb-shudak,Caleb  Shudak,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
dnerius-antoine,D'Nerius Antoine,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,,,,
damecio-ewing-jr,Damecio Ewing Jr,,1.0,1.0,0.0,,,,9.0,9.0,9.0,,1.0,,,,,,,21.0,21.0,0.0,21.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,
damon-stokes,Damon Stokes,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
david-ross,David Ross,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
desmond-grace,Desmond Grace,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,26.0,2.0,41.0,3.0,,,,,,,,,,,
desmond-scott,Desmond Scott,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
devontae-jackson,Devontae Jackson,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
donovan-johnson,Donovan Johnson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
gibson-ziah,Gibson Ziah,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
greg-conry,Greg Conry,K,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,6.0,0.0,6.0,23.3,33.0,4.0,140.0,6.0,,,,,,,,,,,
jalen-knox,Jalen Knox,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,0.0,,
jarvai-flowers,Jarvai Flowers,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
jaylen-perkins,Jaylen Perkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jayshawn-washington,Jayshawn Washington,DL,1.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
jeff-mack-ii,Jeff Mack II,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,22.0,1.0,52.0,4.0,3.6,12.0,5.0,1.0,18.0,,,,,,
josh-batiste,Josh Batiste,RB,,,,,,,,,,,,9.0,49.5,0.0,1.0,495.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
kevin-voyles,KEVIN VOYLES,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
kedarius-davis,KeDarius Davis,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,,,7.0,,,,,,,20.3,50.0,1.0,142.0,,,,,,,17.1,45.0,4.0,120.0,7.0,4.0,4.0,1.0,0.0,4.0,,,,,,
kye-black,Kye Black,LB,,,,3.0,38.0,2.0,,,,,,11.0,49.6,0.0,3.0,446.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,1.0,,,,,,,,,,,,31.0,19.0,,45.0,6.0,270.0,,,,,,-0.7,3.0,3.0,0.0,-2.0,,,,,,
paxton-lynch,Paxton Lynch,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
rashad-ridley,Rashad Ridley,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,,,
sean-connaghan,Sean Connaghan,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
tirri-jones,Tirri Jones,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.5,0.0,,
trey-dudley-giles,Trey Dudley-Giles,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,19.0,0.0,60.0,5.0,,,,,,2.0,2.0,,,,
troy-evans-jr,Troy Evans Jr.,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,24.0,1.0,38.0,3.0,11.0,11.0,1.0,0.0,11.0,,,,,,
tyler-lauenstein,Tyler Lauenstein,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,0.0,14.0,1.0,0.3,2.0,4.0,1.0,1.0,1.0,1.0,,,,
tyler-meeks,Tyler Meeks,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
