player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adarius-pickett,Adarius Pickett,LB/DB,,,2.0,2.0,,,,,,,,,,,,,,,,27.0,1.0,,,27.0,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,,2.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-johnson,Anthony Johnson,,,,,,,,,,,,,,,12.0,4.0,5.0,,13.0,33.0,,,,,,,,,,1.0,,2.0,,,,,,,,
blake-hayes,Blake Hayes,P,,,,,,,,,,,,,,,,,,,,55.0,6.0,6.0,94.0,285.0,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,49.0,1.0,,,49.0,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,LB/DB,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,10.0,7.0,1.0,36.0,30.0,4.0,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,63.0,5.0,5.0,83.0,281.0,,,,,,,9.0,,,3.0,2.0,33.0,9.0,3.0,3.0
dominique-davis,Dominique Davis,QB,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,2.0,,,6.0,1.0,1.0,,,,,,
