player_id,player_name,positions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
arthur-anderson-iv,ARTHUR ANDERSON IV,WR,,,,,84.0,6.0,,
corpus-christi-qb,CORPUS CHRISTI QB,QB,1.0,2.0,212.0,,,,2.0,17.0
charles-hall,Charles Hall,WR,,,,2.0,49.0,4.0,,
darius-prince,DARIUS PRINCE,WR,,,,2.0,75.0,5.0,,13.0
demarius-washington,Demarius Washington,WR,,,,,68.0,6.0,,
fred-payton,Fred Payton,QB,1.0,2.0,212.0,,,,2.0,17.0
jairus-grissom,Jairus Grissom,QB,,,,1.0,11.0,1.0,,
jalen-morton,Jalen Morton,QB,2.0,6.0,264.0,,,,,23.0
jerron-mcgaw,Jerron McGaw,RB/WR,,,,,20.0,1.0,,
josiah-king,Josiah King,RB,,,,,,,,13.0
logan-wright,Logan Wright,RB,,,,1.0,18.0,1.0,1.0,8.0
moe-strong,Moe Strong,WR,,,,,17.0,1.0,,
quintavius-workman,Quintavius Workman,WR,,,,,11.0,1.0,,
sw-kansas-qb,SW KANSAS QB,QB,2.0,6.0,264.0,,,,,23.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,2.0,120.0,9.0,,8.0
