player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,,,,,,,,,,1.0,,44.0,,
alex-ellis,Alex Ellis,TE,,,,,,,,2.0,25.0,4.0,,,,
alize-mack,Alize Mack,TE,,,,,,,,,29.0,3.0,,,,
andre-mintze,Andre Mintze,LB/DE,,,,,,,,,,,,,0.5,6.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,,,4.0
anthoula-kelly,Anthoula Kelly,CB/DB,,,,,1.0,,,,,,,,,4.0
brahmas-dst,Brahmas DST,DST,1.0,,1.0,,,,,,,,,,1.0,
brahmas-qb,Brahmas QB,QB,,,,,,,312.0,,,,,3.0,,
cameron-lewis,Cameron Lewis,DB,,,,,,,,,,,,,,4.0
caraun-reid,Caraun Reid,DL,,,,,,,,,,,,,,3.0
chris-blair,Chris Blair,WR,,,,,,,,,70.0,1.0,,,,
deriq-king,D\'Eriq King,QB,,,,,,,33.0,,,,,1.0,,
davin-bellamy,Davin Bellamy,DE/DL,,,,,,,,,,,,,,4.0
defenders-dst,Defenders DST,DST,,,,,,,,,,,,,2.0,
defenders-qb,Defenders QB,QB,,1.0,,,,2.0,304.0,,,,1.0,46.0,,
delontae-scott,Delontae Scott,DL/OLB,,,,,,,,,,,,,,2.0
deon-yelder,Deon Yelder,TE,,,,,,,,,25.0,3.0,,,,
drew-beesley,Drew Beesley,DE/DL,,,,,1.0,,,,,,,,1.0,4.0
ethan-wolf,Ethan Wolf,TE,,,,,,,,,10.0,2.0,,,,
fadol-brown,Fadol Brown,DE/DL/DT,,,,,,,,,,,,,,3.0
francis-bernard,Francis Bernard,LB,,,,,1.0,,,,,,,,,8.0
fred-brown,Fred Brown,WR,,,,,,,,,4.0,1.0,,,,
jack-coan,Jack Coan,QB,,,,,,,312.0,,,,,3.0,,
jacques-patrick,Jacques Patrick,RB,,,,,,,,,37.0,6.0,2.0,41.0,,
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,,0.5,2.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,,,1.0,1.0
jazz-ferguson,Jazz Ferguson,WR,,,,,,,,,27.0,1.0,,,,
jon-hilliman,Jon Hilliman,RB,,,,,,,,,17.0,2.0,1.0,13.0,,
jordan-taamu,Jordan Ta\'amu,QB,,1.0,,,,2.0,271.0,,,,1.0,45.0,,
jordan-williams,Jordan Williams,LB/MLB/DB/OT/DE/DL,,,1.0,,,,,,,,,,,7.0
joseph-wallace,Joseph Wallace,DL/DT,,,,,1.0,,,,,,,,,6.0
josh-hammond,Josh Hammond,WR,,,,,,,,,59.0,4.0,,,,
landen-akers,Landen Akers,WR,,,,,,,,,90.0,8.0,,,,
lucky-jackson,Lucky Jackson,WR,,,,1.0,,,,,84.0,3.0,,,,
luq-barcoo,Luq Barcoo,CB/DB,1.0,,,,,,,,,,,,,2.0
nick-holley,Nick Holley,WR/RB,,,,,,,,,40.0,4.0,,,,
ranthony-texada,Ranthony Texada,DB,,,,,,,,,,,,,,3.0
riko-jeffers,Riko Jeffers,LB,,,,,1.0,,,,,,,,,9.0
santos-ramirez,Santos Ramirez,SAF/DB,,,,,,,,,,,,,,10.0
tj-vasher,T.J. Vasher,WR,,,,,,,,,57.0,5.0,,,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,,,,4.0
travis-jonsen,Travis Jonsen,WR,,,,,,,,,8.0,1.0,,,,
travis-toivonen,Travis Toivonen,WR,,,,,,,,,5.0,1.0,,,,
travon-fuller,Travon Fuller,DB,,,,,,,,,,,,,,6.0
