player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
arthur-anderson-iv,ARTHUR ANDERSON IV,WR,1.0,,0.0,0.0,2.0,86.0,8.0,,
aakiel-greer,Aakiel Greer,WR,,,,,2.0,94.0,4.0,,
corpus-christi-qb,CORPUS CHRISTI QB,QB,,4.0,6.0,165.0,,,,,6.0
darius-prince,DARIUS PRINCE,WR,,,,,4.0,128.0,8.0,,
deshon-williams,Deshon  Williams,WR/TE,,,,,2.0,116.0,14.0,,
fred-payton,Fred Payton,QB,4.0,4.0,12.0,330.0,,,,0.0,13.0
jerron-mcgaw,Jerron McGaw,RB/WR,,,,,2.0,46.0,8.0,,
josiah-king,Josiah King,RB,,,,,0.0,-2.0,2.0,0.0,58.0
ledarian-mcallister,Ledarian Mcallister,WR,,,,,0.0,60.0,6.0,,
moe-strong,Moe Strong,WR,,,,,0.0,6.0,2.0,,
quintavius-workman,Quintavius Workman,WR,,,,,4.0,66.0,6.0,,
washington-qb,WASHINGTON QB,QB,,3.0,2.0,166.0,,,,1.0,17.0
