player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alexander-hollins,Alexander HOLLINS,WR,,,,,,,0.0,94.0,5.0,,,,
bc-dst,BC DST,DST,,,,,,0.0,,,,,,1.0,
bc-k,BC K,K,3.0,108.0,,,,,,,,,,,
bc-qb,BC QB,QB,,,,2.0,330.0,,,,,,2.0,,
dane-evans,Dane Evans,QB,,,0.0,2.0,330.0,,,,,0.0,2.0,,
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,0.0,64.0,3.0,,,,
edm-dst,EDM DST,DST,,,,,,27.0,,,,,,5.0,
edm-qb,EDM QB,QB,,,2.0,,187.0,,,,,,22.0,,
gavin-cobb,Gavin COBB,WR,,,,,,,0.0,9.0,1.0,,,,
jake-ceresna,Jake Ceresna,DL/DB,,,,,,,,,,,,1.0,2.0
jevon-cottoy,Jevon COTTOY,WR,,,,,,,0.0,30.0,5.0,,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,1.0,35.0,2.0,,,,
kai-locksley,Kai Locksley,QB,,,,,,,1.0,91.0,2.0,0.0,2.0,,
keon-hatcher,Keon HATCHER,WR,,,0.0,0.0,0.0,,0.0,87.0,5.0,,,,
kevin-brown,Kevin BROWN,RB,,,,,,,0.0,27.0,5.0,0.0,5.0,,
kyran-moore,Kyran Moore,WR,,,,,,,0.0,61.0,4.0,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,0.0,54.0,6.0,,,,
sean-whyte,Sean WHYTE,K,3.0,108.0,,,,,,,,,,,
shannon-brooks,Shannon Brooks,RB,,,,,,,0.0,5.0,1.0,0.0,18.0,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,21.0,2.0,,,,
taquan-mizzell,Taquan Mizzell,RB,,,,,,,1.0,30.0,2.0,0.0,117.0,,
taylor-cornelius,Taylor Cornelius,QB,,,2.0,0.0,187.0,,,,,0.0,22.0,,
vincent-forbes-mombleau,Vincent Forbes-Mombleau,WR,,,,,,,0.0,0.0,0.0,,,,
