player_id,player_name,positions,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,0.0,20.0,2.0,,,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
anthony-jones,Anthony Jones,RB,,,,,,,,,,,,,0.0,-2.0,1.0,0.0,6.0,
braedon-bowman,Braedon Bowman,WR/TE,,,,,,,,,,,,,0.0,26.0,1.0,,,
breakers-dst,Breakers DST,DST,,,,,1.0,,0.0,,,,,17.0,,,,,,3.0
breakers-k,Breakers K,K,,,1.0,50.0,,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,,,,,1.0,,,,0.0,279.0,,,,,0.0,10.0,
cj-marable,CJ Marable,RB,,,,,,,,,,,,,0.0,21.0,4.0,0.0,24.0,
cameron-echols-luper,Cameron Echols-Luper,WR,,,,,,,,,,,,,1.0,71.0,2.0,,,
case-cookus,Case Cookus,QB,1.0,,,,,1.0,,,,2.0,145.0,,,,,0.0,83.0,
darius-victor,Darius Victor,RB,,,,,,,,1.0,,,,,0.0,-1.0,1.0,0.0,64.0,
davion-davis,Davion Davis,WR,,,,,,,,,,,,,0.0,21.0,2.0,,,
deandre-johnson,De\'Andre Johnson,QB,,,,,,0.0,,,,1.0,113.0,,,,,,38.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,,0.0,43.0,4.0,,,
deneric-prince,Deneric Prince,RB,,,,,,,,,,,,,0.0,6.0,1.0,0.0,59.0,
deon-cain,Deon Cain,WR,,,,,,,,,,,,,0.0,50.0,5.0,,,
dresser-winn,Dresser Winn,QB,1.0,,,,,0.0,,,,1.0,235.0,,,,,0.0,11.0,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
generals-dst,Generals DST,DST,,,,,,,1.0,,,,,20.0,,,,,,4.0
generals-k,Generals K,K,,,2.0,,,,,,,,,,,,,,,
generals-qb,Generals QB,QB,,,,,,0.0,,,,1.0,113.0,,,,,0.0,38.0,
harrison-mevis,Harrison Mevis,K,,,,92.0,,,,,1.0,,,,,,,,,
isaiah-washington,Isaiah Washington,WR,,,,,,,,,,,,,0.0,42.0,5.0,,,
isiah-hennie,Isiah Hennie,WR,,1.0,,,,,,,,,,,0.0,0.0,0.0,,,
jace-sternberger,Jace Sternberger,TE,1.0,,,,,,,,,,,,0.0,0.0,0.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,,0.0,10.0,1.0,,,
jalen-jackson,Jalen Jackson,RB,1.0,,,,,,,,,,,,,,,0.0,18.0,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,0.0,66.0,6.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,,1.0,33.0,1.0,,,
kwame-lassiter-ii,Kwame Lassiter II,WR,,,,,,,,,,,,,0.0,65.0,5.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,,0.0,36.0,4.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,,1.0,6.0,1.0,,,
matt-coghlin,Matt Coghlin,K,,,2.0,119.0,,,,,1.0,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,1.0,,,,0.0,279.0,,,,,0.0,10.0,
nick-sciba,Nick Sciba,K,,,2.0,38.0,,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,,0.0,0.0,0.0,0.0,41.0,
showboats-k,SHOWBOATS K,K,,,,69.0,,,,,1.0,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,1.0,,,,,0.0,,,,1.0,235.0,,,,,0.0,11.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,0.0,94.0,6.0,,,
showboats-dst,Showboats DST,DST,,1.0,,,,,1.0,,,,,20.0,,,,,,3.0
stallions-dst,Stallions DST,DST,,,,,,,0.0,,,,,24.0,,,,,,0.0
stallions-k,Stallions K,K,,,,92.0,,,,,1.0,,,,,,,,,
stallions-qb,Stallions QB,QB,1.0,,,,,1.0,,,,2.0,145.0,,,,,0.0,83.0,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,0.0,-3.0,1.0,1.0,70.0,
wes-hills,Wes Hills,RB,,,,,,,,,,,,,0.0,71.0,7.0,2.0,88.0,
