player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alec-wilson-holliday,Alec Wilson Holliday,P,3.0,1.0,18.0,13.0,,5.0,1.0,,,13.0,,282.0,74.0
ben-lewis,Ben Lewis,P,,,,,,,1.0,,,,,,
ben-price,Ben Price,P,,1.0,9.0,7.0,,,,,,10.0,3.0,52.0,21.0
brendan-adams,Brendan Adams,P,,,,,,,1.0,,,,,,
brooks-wallace,Brooks Wallace,P,1.0,1.0,21.0,18.0,,1.0,4.0,2.0,,23.0,5.0,298.0,203.0
caleb-dixon,Caleb Dixon,P,,,,,,,,,,,1.0,,
caleb-enright,Caleb Enright,P,,1.0,5.0,4.0,,,1.0,,,5.0,1.0,64.0,24.0
cam-albin,Cam Albin,P,,,16.0,13.0,1.0,3.0,,,,13.0,,123.0,73.0
christian-parker,Christian Parker,P,,,3.0,3.0,,,,,,3.0,,8.0,36.0
colin-smith,Colin Smith,P,,,4.0,3.0,,,,,,4.0,1.0,9.0,3.0
connor-deluna,Connor DeLuna,P,,,4.0,1.0,,2.0,,,,2.0,,67.0,-7.0
connor-ughetta,Connor Ughetta,P,,,,,1.0,,1.0,,,,,,
dane-bossert,Dane Bossert,P,,1.0,,,,,,,,,,,
daniel-emmons,Daniel Emmons,P,,1.0,3.0,1.0,,,,,3.0,3.0,2.0,45.0,
elliot-sakach,Elliot Sakach,P,,1.0,,,1.0,2.0,,,,,1.0,,
emmanuel-bilolo,Emmanuel Bilolo,P,2.0,,24.0,22.0,,2.0,1.0,3.0,,22.0,,146.0,330.0
griffin-miller,Griffin Miller,P,2.0,,13.0,9.0,,2.0,2.0,1.0,,11.0,2.0,237.0,82.0
jack-wooldridge,Jack Wooldridge,P,1.0,,9.0,12.0,,,,,,13.0,1.0,34.0,16.0
jake-floyd,Jake Floyd,P,3.0,,18.0,26.0,,2.0,1.0,,3.0,26.0,,154.0,217.0
jake-worthington,Jake Worthington,P,1.0,,6.0,6.0,,,,,,7.0,1.0,53.0,20.0
jason-hustad,Jason Hustad,P,4.0,2.0,46.0,55.0,,,4.0,2.0,2.0,59.0,4.0,143.0,612.0
john-clyde,John Clyde,P,,,,,,,,2.0,,,,,
john-shelley,John Shelley,P,,,9.0,13.0,1.0,1.0,1.0,,,14.0,1.0,43.0,61.0
jordan-salazar,Jordan Salazar,P,2.0,,,,,,2.0,,,,1.0,,
joseph-welkener,Joseph Welkener,P,1.0,3.0,6.0,12.0,,,,,9.0,12.0,,-5.0,88.0
kevin-richardson,Kevin Richardson,P,1.0,,12.0,14.0,,,2.0,,2.0,14.0,,66.0,58.0
mason-wuensch,Mason Wuensch,P,,1.0,,,,,,,,,,,
matt-bennett,Matt Bennett,P,,1.0,,,,1.0,,,,,,,
max-grove,Max Grove,P,2.0,,,,,,,,,,,,
myles-armstrong,Myles Armstrong,P,,,5.0,3.0,,2.0,,,,3.0,,52.0,12.0
myles-cooper,Myles Cooper,P,,,6.0,5.0,1.0,,,,,5.0,,37.0,29.0
noah-powell,Noah Powell,P,,1.0,,,,,,,,,,,
ryan-buckingham,Ryan Buckingham,P,,1.0,9.0,7.0,,3.0,,,,7.0,,134.0,32.0
steven-kelly,Steven Kelly,P,,,,12.0,,,4.0,,,13.0,1.0,,24.0
tanner-roberts,Tanner Roberts,P,1.0,,2.0,2.0,,,,,,2.0,,27.0,18.0
zachary-cotter,Zachary Cotter,P,,,,,,1.0,,1.0,,,,,
