player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl
david-dean,David Dean,DB/DT,1.0,0.5,1.0,2.0,0.5
meffy-koloamatangi,Meffy Koloamatangi,DB/DE,,,1.0,1.0,
