player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
aaron-aiken,Aaron Aiken,QB,56.3,,,,,5.0,1.0,24.0,4.0,0.0,,,,,119.0,67.0,45.0,6.6,141.1,13.0,786.0,196.5,,,,0.0,,,,4.0,,,,0.6,14.0,37.0,4.0,22.0,5.5,22.0,,,,5.5
adam-smith,Adam Smith,WR,,,,,,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,1.0,28.5,34.0,1.0,57.0,14.3,2.0,0.5,8.0,8.0,1.0,0.0,8.0,2.0,65.0,,,,16.3
antwaine-carter-jr,Antwaine Carter Jr,DB,,,,,,,,3.0,,4.3,,,,,,,,,,,,,,,,13.0,,,,3.0,,,,,,,,10.0,,0.0,,,,0.0
brandon-rowland,Brandon Rowland,DB,,,,,,,,8.0,,13.0,0.0,0.0,13.0,13.0,,,,,,,,,,0.0,0.0,39.0,,,,6.0,,,,,,,,33.0,,13.0,,,,1.6
brandon-sutton,Brandon Sutton,DL,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,1.0,,0.0,,,,0.0
dante-holmes,Dante Holmes,DE/LB,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,,5.0,,0.0,,,,0.0
dashawn-johnson,Dashawn Johnson,FB,,,,,,1.0,1.0,30.0,,1.0,,,,,,,,,,,,,,,,1.0,9.0,13.0,0.0,18.0,2.3,2.0,0.3,0.4,5.0,24.0,5.0,10.0,1.3,28.0,,,,3.5
ethan-farmer,Ethan Farmer,DL,,,,,,,,8.0,,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,24.0,,,,10.0,,,,,,,,14.0,,2.0,,,,3.0
faleogo-russell,Faleogo Russell,OL,,,,,,0.0,0.0,4.0,,5.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,,,,0.0
gerron-bryant,Gerron Bryant,WR,,,,,,,,1.0,,6.0,0.0,0.0,6.0,6.0,,,,,,,,,,0.0,0.0,1.0,14.0,14.0,0.0,14.0,14.0,1.0,1.0,,,,,1.0,,20.0,,,,20.0
herbert-waters,Herbert Waters,DB,,,,,,,,4.0,,12.0,0.0,0.0,12.0,12.0,,,,,,,,,,0.0,0.0,6.0,,,,2.0,,,,,,,,4.0,,12.0,,,,3.0
james-summers,James Summers,WR/LB/QB,47.1,,,,,1.0,0.0,48.0,1.0,12.0,0.0,0.0,12.0,6.0,17.0,8.0,18.0,4.8,95.2,1.0,82.0,9.1,,0.0,0.0,2.0,9.8,35.0,2.0,244.0,27.1,25.0,2.8,3.9,28.0,20.0,6.0,78.0,8.7,334.0,,,,37.1
justin-chandler,Justin Chandler,DL,,,,,,0.0,0.0,6.0,,3.0,,,,,,,,,,,,,,,,12.0,,,,8.0,,,,36.0,33.0,1.0,1.0,36.0,9.0,36.0,,,,9.0
kendrick-ings,Kendrick Ings,WR,,,,,,,,144.0,,241.0,2.0,0.0,50.0,21.9,,,,,,,,,,0.0,0.0,22.0,13.8,45.0,22.0,803.0,89.2,58.0,6.4,,,,,16.0,,1044.0,,,,116.0
lamark-brown,LaMark Brown,II,,,,,,,,,,2.0,,,,,,,,,,,,,,,,64.0,32.0,2.0,9.1,6.0,64.0,2.0,7.0,,,,,12.0,,1.0,,,,64.0
laronji-vason,Laronji Vason,DB,,,,,,,,2.0,,3.5,,,,,,,,,,,,,,,,7.0,,,,3.0,,,,,,,,4.0,,0.0,,,,0.0
larry-ford,Larry Ford,DL,,,,,,,,4.0,,1.3,,,,,,,,,,,,,,,,5.0,,,,0.0,,,,,,,,5.0,,2.0,,,,23.0
micheaux-robinson,Micheaux Robinson,OL/DL,,,,,,,,6.0,,2.7,,,,,,,,,,,,,,,,16.0,,,,4.0,,,,,,,,12.0,,0.0,,,,0.0
monte-lewis,Monte Lewis,DL,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,1.0,,0.0,,,,0.0
reggie-gray,Reggie Gray,WR,,,,,,,,1.0,,13.0,0.0,0.0,13.0,13.0,,,,,,,,,,0.0,0.0,2.0,9.0,13.0,0.0,18.0,18.0,2.0,2.0,,,,,0.0,,31.0,,,,31.0
riley-stapleton,Riley Stapleton,WR,,,,,,,,3.0,,0.0,,,,,,,,,,,,,,,,0.0,11.8,20.0,0.0,94.0,31.3,8.0,2.7,,,,,0.0,,94.0,,,,31.3
tc-stevens,TC Stevens,K,,8.0,26.0,38.0,3.0,,,44.0,,1.0,,,,,,,,,,,,,44.0,,,1.0,,,,0.0,,,,,,,,5.5,,0.0,42.0,35.0,83.0,0.0
terrence-jt-surratt,"Terrence ""JT"" Surratt",DL,,,,,,,,6.0,,1.2,,,,,,,,,,,,,,,,7.0,,,,3.0,,,,,,,,4.0,,0.0,,,,0.0
tevin-homer,Tevin Homer,DB,,,,,,,,8.0,,6.4,,,,,,,,,,,,,,,,51.0,,,,6.0,,,,,,,,45.0,,0.0,,,,0.0
thyron-lewis,Thyron Lewis,WR,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,5.0,5.0,1.0,1.0,,,,,1.0,,5.0,,,,5.0
