player_id,player_name,positions,fg_made,rush_td
chase-alisauckas,Chase Alisauckas,LB,1.0,
jack-robinson,Jack Robinson,DL,,4.0
orlando-doss,Orlando Doss,WR,2.0,
steven-newbold,Steven Newbold,,,1.0
