player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
alexander-hollins,Alexander HOLLINS,WR,,,,,,0.0,46.0,3.0,,
cole-spieker,Cole SPIEKER,WR,,,,,,0.0,22.0,1.0,,
davis-alexander,Davis ALEXANDER,QB,,,0.0,2.0,336.0,,,,0.0,2.0
dustin-crum,Dustin CRUM,QB,,,,,,,,,0.0,7.0
ham-k,HAM K,K,3.0,65.0,,,,,,,,
ham-qb,HAM QB,QB,,,1.0,0.0,307.0,,,,1.0,6.0
jake-dolegala,Jake DOLEGALA,QB,,,,,,,,,1.0,6.0
jerreth-sterns,Jerreth STERNS,WR,,,,,,0.0,7.0,1.0,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,0.0,2.0,1.0,0.0,0.0
jose-maltos-diaz,Jose MALTOS DIAZ,K,3.0,65.0,,,,,,,,
kenny-lawler,Kenny Lawler,WR,,,,,,0.0,58.0,4.0,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,0.0,46.0,6.0,1.0,5.0
kiondre-smith,Kiondre SMITH,WR,,,,,,0.0,75.0,6.0,,
mtl-k,MTL K,K,3.0,65.0,,,,,,,,
mtl-qb,MTL QB,QB,,,0.0,2.0,336.0,,,,0.0,9.0
marc-liegghio,Marc LIEGGHIO,K,3.0,65.0,,,,,,,,
marco-dubois,Marco DUBOIS,FB/WR,,,,,,0.0,15.0,2.0,,
myron-mitchell,Myron Mitchell,WR,,,,,,0.0,37.0,2.0,,
travis-theis,Travis THEIS,RB,,,,,,,,,0.0,8.0
tyler-snead,Tyler SNEAD,WR,,,,,,1.0,163.0,9.0,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,1.0,76.0,7.0,,
