player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
andrew-franks,Andrew Franks,K,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-johnson,Anthony Johnson,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
anthoula-kelly,Anthoula Kelly,DB/CB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,,,1.0,6.0,6.0,,,2.0,,,,,,-1.0,1.0,,,,,,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,1.0,,,,,,
bobby-richardson,Bobby Richardson,DB/DT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
brandon-silvers,Brandon Silvers,QB,,7.0,,,,,,,1.0,,,,,18.0,1.0,91.0,,,,,,,,,,,,,,,,,,,
brock-miller,Brock Miller,P,,,,,,,,,,,,,,,,,,,,37.8,49.0,,227.0,6.0,2.0,3.0,,,,,,,,,
channing-stribling,Channing Stribling,DB/CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
colin-jeter,Colin Jeter,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
connor-hamlett,Connor Hamlett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,
corey-moore,Corey Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
dc-defenders,DC Defenders,,,,,,,9.0,27.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,,19.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-williams,Daniel Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,3.0,,,,,,2.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,11.0,46.0,,1.0,1.0,1.0
deandre-goolsby,Deandre Goolsby,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,1.0
deiontrez-mount,Deiontrez Mount,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
donteea-dye,Donteea Dye,WR,,,,,,,,,,,,,,,,,,5.0,2.0,,,3.0,,,,,,,,,,,,,
durrant-miles,Durrant Miles,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
ernesto-lacayo,Ernesto Lacayo,K,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godwin-igwebuike,Godwin Igwebuike,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
houston,Houston,,,,,,,7.0,28.0,12.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
jaquan-gardner,Ja'Quan Gardner,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,27.0,,,,
jacques-patrick,Jacques Patrick,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,14.0,73.0,,,,1.0
jacquies-smith,Jacquies Smith,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.0,4.0,
jake-schum,Jake Schum,P,,,,,,,,,,,,,,,,,,,,41.3,55.0,,124.0,3.0,6.0,2.0,,,,1.0,,,,,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,1.0,7.0,,,,
jeremy-clark,Jeremy Clark,DB,1.0,,,,,19.0,,19.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
john-santiago,John Santiago,WR/RB,,,,,,,,,,,2.0,39.0,61.0,,,,,,,,,,,,,,,,,,,,,,
jordan-martin,Jordan Martin,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
jordan-thompson,Jordan Thompson,DE/DB/DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,
josh-banks,Josh Banks,DB/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
keenan-reynolds,Keenan Reynolds,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,87.0,3.0,,,,,,3.0
kenneth-farrow,Kenneth Farrow,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,45.0,,1.0,1.0,
kyle-queiro,Kyle Queiro,DB,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
los-angeles,Los Angeles,,,,,,,15.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucas-wacha,Lucas Wacha,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
mack-brown,Mack Brown,,,,,,,,,,,,1.0,15.0,28.0,,,,,,,,,,,,,,,,,,,,,,
marcelis-branch,Marcelis Branch,DB,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,12.0,
marcell-frazier,Marcell Frazier,DE/DB,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
micah-hannemann,Micah Hannemann,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,
mohammed-seisay,Mohammed Seisay,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
nick-temple,Nick Temple,DB/LB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,
nick-truesdell,Nick Truesdell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,4.0,,,,,,1.0
nikita-whitlock,Nikita Whitlock,DB/DT,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,
noah-borden,Noah Borden,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
nyles-morgan,Nyles Morgan,DB/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.0,4.0,
praise-martin-oguike,Praise Martin-Oguike,DB/DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
quinton-flowers,Quinton Flowers,QB,,3.0,,,,,,,1.0,,,,,7.0,,18.0,,,,,,,,,,,,,,5.0,15.0,,,,
rannell-hall,Rannell Hall,WR/CB,,,,,,,,,,,2.0,29.0,49.0,,,,,,,,,,,,,,,,,,,,,,
reece-horn,Reece Horn,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,5.0,,,,,,3.0
reggie-northrup,Reggie Northrup,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
ricky-walker,Ricky Walker,DB/DT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
robert-priester,Robert Priester,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
santos-ramirez,Santos Ramirez,DB/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
seantavius-jones,Seantavius Jones,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,1.0
seattle,Seattle,,,,,,,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st-louis,St. Louis,,,,,,,6.0,24.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
stansly-maponga,Stansly Maponga,DB/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
steve-williams,Steve Williams,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.0,7.0,
steven-johnson,Steven Johnson,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,
total,TOTAL,WR,35.0,7.0,1.0,,1.0,19.0,1.0,20.0,1.0,3.0,2.0,39.0,61.0,18.0,1.0,91.0,1.0,6.0,6.0,37.8,49.0,2.0,227.0,6.0,2.0,3.0,1.0,91.0,7.0,31.0,117.0,4.0,47.0,82.0,3.0
tampa-bay,Tampa Bay,,,,,,,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanner-mcevoy,Tanner McEvoy,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,1.0
tarvarus-mcfadden,Tarvarus McFadden,DB,1.0,,,,,78.0,1.0,78.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
taylor-cornelius,Taylor Cornelius,QB,,16.0,,,,,,,2.0,,,,,27.0,,154.0,,,,,,,,,,,,,,,,,,,
terrance-plummer,Terrance Plummer,DB/LB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,1.0,11.0,45.0,,,,
tyson-graham,Tyson Graham,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
will-sutton,Will Sutton,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,3.0,
