player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
albany-qb,ALBANY QB,QB,,,6.0,159.0,,,,,42.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,2.0,60.0,4.0,,
duane-brown,DUANE  BROWN,WR,,,,,5.0,115.0,7.0,0.0,24.0
edward-smith,Edward Smith,WR,,,,,,68.0,6.0,,2.0
isaiah-scott,Isaiah Scott,WR,,,,,2.0,40.0,4.0,0.0,6.0
javin-kilgo,Javin Kilgo,QB,3.0,3.0,4.0,380.0,,,,0.0,52.0
marquel-wade,MARQUEL WADE,WR,,,,,2.0,30.0,2.0,,
robert-mccoy-jr,Robert Mccoy Jr,QB,0.0,,1.0,27.0,,,,0.0,4.0
salina-qb,SALINA QB,QB,,,3.0,232.0,,,,,24.0
sam-castronova,Sam Castronova,QB,0.0,,10.0,264.0,,,,0.0,80.0
tracy-brooks,Tracy Brooks,RB,,,,,,,,2.0,24.0
