player_id,player_name,positions,attempts,avg,award_mvp,long,td,yards
brad-brennan,Brad Brennan,,12.0,14.1,,46.0,,169.0
chitaka-kishi,Chitaka Kishi,,18.0,9.4,,26.0,2.0,170.0
daisuke-kōzuma,Daisuke Kōzuma,,16.0,12.7,,34.0,1.0,203.0
kajima-deers,Kajima Deers,,,,1.0,,,
kazuya-togura,Kazuya Togura,,20.0,12.6,,23.0,1.0,253.0
ken-shimizu,Ken Shimizu,,18.0,13.2,,67.0,1.0,237.0
kenjirō-horikawa,Kenjirō Horikawa,,18.0,14.7,,26.0,2.0,265.0
kōji-honda,Kōji Honda,,16.0,17.9,,58.0,5.0,286.0
kōki-takagi,Kōki Takagi,,12.0,9.5,,37.0,,114.0
kōsuke-kamiyama,Kōsuke Kamiyama,,33.0,10.1,,97.0,3.0,334.0
kōtarō-okamura,Kōtarō Okamura,,87.0,66.7,,524.0,32.0,58.0
masahiro-ishino,Masahiro Ishino,,50.0,8.8,,49.0,10.0,442.0
masahiro-mizuno,Masahiro Mizuno,,91.0,60.4,,608.0,41.0,55.0
masatoshi-sugihara,Masatoshi Sugihara,,33.0,8.7,,49.0,4.0,289.0
michihiro-ogawa,Michihiro Ogawa,,27.0,10.5,,70.0,4.0,285.0
minoru-tōno,Minoru Tōno,,91.0,61.5,,653.0,30.0,56.0
naoki-maeda,Naoki Maeda,,12.0,13.2,,27.0,2.0,158.0
panasonic-denko-impulse,Panasonic Denko Impulse,,,,1.0,,,
ryōma-hagiyama,Ryōma Hagiyama,,17.0,13.8,,38.0,,234.0
shinya-furutani,Shinya Furutani,,11.0,10.9,,20.0,,120.0
shun-sugawara,Shun Sugawara,,72.0,75.0,,587.0,67.0,54.0
shōei-hasegawa,Shōei Hasegawa,,19.0,15.9,,41.0,1.0,303.0
shōichirō-satō,Shōichirō Satō,,20.0,9.3,,69.0,1.0,186.0
sō-ninomiya,Sō Ninomiya,,18.0,9.7,,23.0,,175.0
sōichirōtsukuda,SōichirōTsukuda,,48.0,8.7,,80.0,3.0,418.0
takashi-kurihara,Takashi Kurihara,,16.0,11.2,,28.0,1.0,180.0
takuya-furutani,Takuya Furutani,,44.0,5.2,,56.0,5.0,230.0
tetsuo-takata,Tetsuo Takata,,88.0,71.6,,798.0,58.0,63.0
tomohiro-chizawa,Tomohiro Chizawa,,16.0,9.7,,27.0,,156.0
yasuhiro-maruta,Yasuhiro Maruta,,50.0,4.7,,22.0,4.0,236.0
yasumasa-sugita,Yasumasa Sugita,,56.0,4.8,,28.0,3.0,272.0
yoshiki-ishigaki,Yoshiki Ishigaki,,46.0,5.5,,30.0,2.0,254.0
yoshinari-iwakura,Yoshinari Iwakura,,31.0,7.4,,42.0,2.0,230.0
yōsuke-nakanishi,Yōsuke Nakanishi,,51.0,7.6,,63.0,4.0,390.0
yūki-taguchi,Yūki Taguchi,,17.0,5.3,,26.0,1.0,90.0
yūsuke-shinshi,Yūsuke Shinshi,,21.0,4.8,,21.0,1.0,102.0
