player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_ir,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adam-bighill,Adam Bighill,LB,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,1.0,166.0,,,,6.0,1.0,1.0,,,,,,
antonio-simmons,Antonio Simmons,DB/DE,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-banner,Bo Banner,DB/DE,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,,75.0,5.0,5.0,142.0,,346.0,1.0,-10.0,,-10.0,,,,6.0,,,1.0,1.0,30.0,6.0,3.0,3.0
boseko-lokombo,Boseko Lokombo,LB,1.0,20.0,,2.0,,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,LB/DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,,,,,25.0,15.0,2.0,35.0,,,1.0,174.0,,,,,,,,,,,,,9.0,13.0,,64.0,,,,,,,,,,,,
chris-schleuger,Chris Schleuger,OL,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,2.0,,2.0,,,,,,,,,,,11.0,3.0,6.0,,6.0,21.0,,1.0,,,,,,,,,,,,,,,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,,,,,8.0,1.0,4.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,
derek-jones,Derek Jones,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,5.0,30.0,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,1.0,,1.0,,,,,,,,,,,21.0,4.0,8.0,,7.0,59.0,,,,,,,,,,,,,,,,,,,,,,
fabion-foote,Fabion Foote,DL/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix-faubert-lussier,Felix Faubert-Lussier,WR,,,,,,,,,,,,,,,,,7.0,1.0,1.0,,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,
greg-reid,Greg Reid,DB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,4.0,,,,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javon-rolland-jones,Ja'Von Rolland-Jones,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-jeffcoat,Jackson Jeffcoat,DB/DE,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,1.0,,1.0,,,,,,,,,,,,2.0,5.0,1.0,7.0,53.0,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
janarion-grant,Janarion GRANT,WR,,,,,,,,,,,,,,,,,6.0,1.0,1.0,,6.0,6.0,74.0,4.0,,,,142.0,,,,,,,,,,,,,,,,
jarveon-williams,Jarveon Williams,RB,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
jeremiah-johnson,Jeremiah Johnson,S/CB/DB,,,,,,,,,,,,,,,,,15.0,4.0,4.0,,36.0,36.0,,,,,,,13.0,14.0,,72.0,,,,,,,,,,,,
john-bowman,John Bowman,DB/DE,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-kongbo,Jonathan Kongbo,DB/DE,,,1.0,2.0,,2.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-medlock,Justin Medlock,K,,,,,,,,,,,,,,,,,,,,,,,85.0,5.0,4.0,72.0,1.0,363.0,,,,,,,,17.0,,,4.0,4.0,46.0,15.0,3.0,3.0
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,,,,24.0,,,,,,,,,,,,,,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,,,,,,,,,12.0,1.0,2.0,,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,
marcus-rios,Marcus Rios,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,2.0,8.0,,3.0,,3.0,8.0,,,,,,,,,,,,,,,,7.0,,,,,7.0,,,,,,,,,,,,,,,,
mario-alford,Mario ALFORD,WR,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,,,1.0,48.0,,,,,,,1.0,6.0,,1.0,,,,,,
mike-miller,Mike Miller,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,10.0,,,,,,,,,,,,
najee-murray,Najee Murray,LB/CB/DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,,,,11.0,3.0,4.0,,10.0,19.0,,,,,,,,,,,,,,,,,,,,,,
nicholas-taylor,Nicholas Taylor,DB,1.0,,,1.0,1.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,1.0,,,,,,
patrick-levels,Patrick Levels,LB/DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quan-bray,Quan Bray,RB/WR,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,14.0,99.0,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,,,,,,,,,,35.0,5.0,7.0,,16.0,86.0,,,,,,,,,,,,,,,,,,,,,,
sean-jamieson,Sean Jamieson,OL/P,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spencer-moore,Spencer Moore,FB/WR,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
steven-richardson,Steven Richardson,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,1.0,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vernon-adams,Vernon Adams,QB,,,,,,,,,32.0,19.0,4.0,,30.0,2.0,2.0,266.0,,,,,,,,,,,,,2.0,4.0,,6.0,,,,,,,,,,,,
willie-jefferson,Willie Jefferson,DL/DB/DE,,,1.0,2.0,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winston-rose,Winston Rose,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woody-baron,Woody Baron,DL/DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
