player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts
adam-bighill,Adam Bighill,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,5.0,4.0,8.0,6.0,9.0,,,,,,13.0,19.0,71.0,,,,,
anthony-gaitor,Anthony Gaitor,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
brandin-bryant,Brandin Bryant,DL/LB/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,4.0,,,,,
craig-roh,Craig Roh,DL/DB,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,,,,,26.0,5.0,9.0,5.0,64.0,,,,,,,,,,,,,
drake-nevis,Drake Nevis,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,,13.0,1.0,3.0,6.0,13.0,,,,,,,,,,,,,
ian-wild,Ian Wild,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,2.0,3.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
justin-medlock,Justin Medlock,K,,,,,,,,,,,,,,,,59.0,3.0,3.0,30.0,127.0,,,,12.0,4.0,4.0,57.0,12.0
kevin-fogg,Kevin Fogg,DB,,4.0,4.0,,,,,,,,,,,,,55.0,1.0,,,55.0,,,,,,,,
kyrie-wilson,Kyrie Wilson,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
matt-nichols,Matt Nichols,QB,,,,,32.0,15.0,27.0,16.0,3.0,156.0,,,,,,,,,,,2.0,8.0,10.0,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,18.0,1.0,3.0,4.0,18.0,,,,,,2.0,17.0,21.0,,,,,
philip-nelson,Philip Nelson,QB,,,,,,,,,,,12.0,1.0,1.0,9.0,12.0,26.0,7.0,,,77.0,,,,,,,,
rashaun-simonise,Rashaun Simonise,WR,,,,,,,,,,,27.0,1.0,1.0,3.0,27.0,,,,,,,,,,,,,
taylor-loffler,Taylor Loffler,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
tristan-okpalaugo,Tristan Okpalaugo,DE/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
weston-dressler,Weston Dressler,WR,,,,,,,,,,,7.0,2.0,6.0,1.0,13.0,,,,,,,,,,,,,
