player_id,player_name,positions,pass_td,recv_td,rush_td
away-jefferson,Away Jefferson,DB,,1.0,
david-calderon,David  Calderon,RB,3.0,,
michael-miller,Michael Miller,DB,,,1.0
verlon-reed,Verlon Reed,QB,,2.0,
