player_id,player_name,positions,completion_pct,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,,,,,,,,,,5.0,5.0,0.0,0.0,0.0,5.0,1.0,,,,,,,
andrew-mcbride,Andrew McBride,QB,286.0,2.0,7.0,2.0,39.0,24.0,0.0,55.0,0.0,1.0,47.0,0.0,,,,,,,,,,,,,,
carl-robinson,Carl Robinson,QB,421.0,1.0,19.0,8.0,19.0,6.0,0.0,45.0,0.0,1.0,49.0,0.0,,,,,,,,-3.0,3.0,0.0,4.0,0.0,1.0,-13.0
deshon-williams,Deshon  Williams,TE/WR,,,,,,,,,,,,,11.0,21.0,0.0,0.0,2.0,89.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
dontrell-morrison,Dontrell Morrison,WR,,,,,,,,,,,,,20.0,39.0,0.0,0.0,2.0,81.0,4.0,,,,,,,
jaiave-magalei,Jaiave Magalei,QB,561.0,0.0,41.0,23.0,41.0,7.0,0.0,98.0,0.0,4.0,166.0,0.0,,,,,,,,3.0,5.0,0.0,3.0,0.0,1.0,10.0
justin-olibrice,Justin Olibrice,WR,,,,,,,,,,,,,4.0,4.0,0.0,0.0,0.0,4.0,1.0,4.0,8.0,0.0,4.0,0.0,0.0,17.0
kedrick-james,Kedrick James,,,,,,,,,,,,,,,,,,,,,2.0,5.0,0.0,5.0,0.0,0.0,9.0
quintavius-workman,Quintavius Workman,WR,,,,,,,,,,,,,7.0,14.0,0.0,0.0,2.0,59.0,9.0,21.0,21.0,0.0,1.0,0.0,0.0,21.0
undra-hendrix,Undra Hendrix,RB,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,1.0,0.0,0.0,4.0
vincent-wilkerson-ii,Vincent Wilkerson II,WR,,,,,,,,,,,,,7.0,0.0,0.0,0.0,0.0,13.0,2.0,44.0,44.0,0.0,1.0,0.0,1.0,44.0
zuri-davis,Zuri Davis,WR,,,,,,,,,,,,,4.0,13.0,0.0,0.0,0.0,15.0,4.0,17.0,24.0,0.0,2.0,0.0,1.0,33.0
