player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
andrew-mcbride,Andrew McBride,QB,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,0.0,1.0
carl-robinson,Carl Robinson,QB,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,21.0,26.0,12.0,0.0,100.0,2.0,5.0,252.0,0.0,,,,,,,,5.0,8.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0
david-haney,David Haney,WR,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
devin-kirkwood,Devin Kirkwood,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
donavan-thurman,Donavan Thurman,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
isaiah-hall,Isaiah Hall,DB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
jaylen-schleicher,Jaylen  Schleicher,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.0,11.0,0.0,0.0,1.0,11.0,1.0,,,,,,,,0.0,1.0
jaylon-tucker,Jaylon Tucker,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
jerrime-neal,Jerrime Neal,WR,,,,,,,,,,,,,,,,,,,,,9.0,23.0,0.0,0.0,1.0,27.0,3.0,,,,,,,,,
john-griggs,John Griggs,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
jordan-baker,Jordan Baker,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,
