player_id,player_name,positions,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-thorne,Alex Thorne,P,2.0,,40.0,43.0,,3.0,1.0,,43.0,,190.0,131.0
allan-michel,Allan Michel,P,,1.0,1.0,1.0,,,,,2.0,1.0,55.0,4.0
andres-rodriguez,Andres Rodriguez,P,1.0,,7.0,6.0,2.0,,,,6.0,,14.0,32.0
ben-levy,Ben Levy,P,,,3.0,4.0,,,,,4.0,,13.0,2.0
benjamin-sadok,Benjamin Sadok,P,2.0,,28.0,29.0,,,,,29.0,0.0,202.0,168.0
cj-colicchio,CJ Colicchio,P,3.0,,23.0,19.0,2.0,1.0,,,21.0,2.0,205.0,130.0
caelan-mcsweeney,Caelan McSweeney,P,1.0,,45.0,49.0,0.0,6.0,0.0,,52.0,3.0,121.0,255.0
chris-bartoli,Chris Bartoli,P,,0.0,3.0,2.0,0.0,0.0,,,2.0,,32.0,11.0
cole-davis-brand,Cole Davis-Brand,P,2.0,,42.0,47.0,1.0,3.0,,,48.0,1.0,181.0,212.0
colin-sunde,Colin Sunde,P,3.0,,27.0,32.0,,0.0,1.0,,35.0,,-23.0,290.0
dmitry-suvorov,Dmitry Suvorov,P,,,13.0,12.0,1.0,,,,12.0,,143.0,2.0
eric-nardelli,Eric Nardelli,P,,,6.0,5.0,1.0,,,,5.0,,41.0,23.0
eric-witmer,Eric Witmer,P,,1.0,13.0,12.0,,,1.0,,12.0,,55.0,116.0
gabe-colton,Gabe Colton,P,0.0,,1.0,0.0,1.0,,,1.0,0.0,,51.0,0.0
greg-martin,Greg Martin,P,2.0,,27.0,24.0,3.0,1.0,1.0,1.0,24.0,,234.0,99.0
jac-carreiro,Jac Carreiro,P,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
james-pollard,James Pollard,P,1.0,,24.0,12.0,7.0,3.0,1.0,1.0,16.0,4.0,470.0,60.0
jay-clark,Jay Clark,P,2.0,,17.0,14.0,2.0,0.0,0.0,,15.0,,226.0,97.0
jordan-rhyne,Jordan Rhyne,P,1.0,,25.0,24.0,,4.0,1.0,,26.0,2.0,61.0,182.0
justin-keller,Justin Keller,P,,,5.0,5.0,,,,,5.0,,-11.0,10.0
kainoa-chun-moy,Kainoa Chun Moy,P,,1.0,10.0,10.0,1.0,3.0,,10.0,10.0,,71.0,57.0
luca-harwood,Luca Harwood,P,,,3.0,2.0,,,,,4.0,,25.0,6.0
matt-hanna,Matt Hanna,P,,0.0,4.0,3.0,,,,,4.0,1.0,22.0,12.0
mike-campanella,Mike Campanella,P,,,5.0,5.0,,1.0,,3.0,5.0,,-11.0,21.0
nate-little,Nate Little,P,1.0,1.0,1.0,1.0,,,,,1.0,,11.0,5.0
nathanial-dick,Nathanial Dick,P,,,5.0,6.0,,1.0,,,6.0,,19.0,40.0
oscar-graff,Oscar Graff,P,,,1.0,0.0,,0.0,,,1.0,,1.0,0.0
paul-owens,Paul Owens,P,1.0,2.0,12.0,15.0,,1.0,,6.0,15.0,,54.0,12.0
phillip-joyce,Phillip Joyce,P,,0.0,1.0,0.0,,,,,1.0,1.0,4.0,0.0
ray-tetreault,Ray Tetreault,P,1.0,,18.0,16.0,1.0,1.0,,,17.0,,151.0,121.0
rocco-linehan,Rocco Linehan,P,1.0,,10.0,12.0,0.0,,1.0,11.0,12.0,,-2.0,93.0
sean-mott,Sean Mott,P,4.0,,36.0,48.0,1.0,1.0,3.0,,49.0,1.0,122.0,425.0
simon-carapella,Simon Carapella,P,,,15.0,12.0,3.0,,,,12.0,,249.0,24.0
tanner-halkyard,Tanner Halkyard,P,1.0,0.0,11.0,8.0,,1.0,0.0,,10.0,2.0,117.0,70.0
topher-davis,Topher Davis,P,1.0,,7.0,5.0,2.0,0.0,0.0,,5.0,0.0,51.0,33.0
tyler-chan,Tyler Chan,P,1.0,1.0,12.0,11.0,1.0,0.0,1.0,,12.0,,116.0,96.0
