player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,score_pts,score_saf
alex-bazzie,Alex Bazzie,DL/DB,2.0,1.0,2.0,4.0,12.0,2.0,1.0
danny-mason,Danny Mason,DL/DB,1.0,,1.0,2.0,,,
