player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-davis,Aj Davis,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,-3.0,1.0,2.0,,,,
ben-pister,Ben Pister,DL,,,,,,,,,,,,,,,,,5.0,,,,,,,15.4,22.0,0.0,77.0,,,,,,,,,,,,,,,,,,,,,,
ben-woodard,Ben Woodard,,,,,,2.0,0.0,0.0,,,,,,,,,,,3.0,50.0,0.0,0.0,300.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
benari-black,Benari Black,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,1.5,0.0,,
dwan-mathis,D'Wan Mathis,,,,,,,,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,,14.0,8.0,,29.0,2.0,123.0,,,,,,5.1,19.0,9.0,1.0,46.0,,,,,,
damecio-ewing-jr,Damecio Ewing Jr,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,9.0,0.0,9.0,,,1.0,,,,,,,,,,,,,,4.0,7.0,,,,
damon-stokes,Damon Stokes,WR,1.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,
david-ross,David Ross,RB,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
davonte-brown,Davonte Brown,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.0,,
dayjure-stewart,Dayjure Stewart,RB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,7.0,2.0,0.0,,
deshayvion-mcrath,De'Shayvion Mcrath,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
desmond-grace,Desmond Grace,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,24.0,0.0,31.0,2.0,,,,,,,,,,,
desmond-scott,Desmond Scott,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
gibson-ziah,Gibson Ziah,DL,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
greg-conry,Greg Conry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,28.0,2.0,44.0,3.0,,,,,,,,,,,
jamore-colson,Jamore Colson,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,1.0,,,,
jarvai-flowers,Jarvai Flowers,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
jerry-harris-jr,Jerry Harris Jr.,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
josh-batiste,Josh Batiste,RB,,,,,3.0,33.0,3.0,,,,,,,,,,,12.0,50.0,0.0,0.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
justin-mcgriff,Justin MCGRIFF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,28.0,1.0,63.0,3.0,,,,,,,,,,,
justin-youmes,Justin Youmes,OL,6.0,,2.0,0.0,,,,,,,,,2.5,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,
keshaun-taylor,KESHAUN TAYLOR,WR,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,17.0,7.0,,34.0,2.0,89.0,,,,,,7.1,34.0,18.0,1.0,127.0,,,,,,
kyle-meyers,Kyle Meyers,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,0.0,7.0,,,,,,
malik-sonnier,Malik Sonnier,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,6.0,,,,
nashawn-jackson,Nashawn Jackson,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
ralph-green,Ralph Green,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,9.0,,,,
sean-connaghan,Sean Connaghan,LB,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
sidney-houston-jr,Sidney Houston Jr.,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
td-ayo-durojaiye,TD Ayo-Durojaiye,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,1.1,5.0,7.0,2.0,8.0,,,,,,
terrell-brown,Terrell Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,1.0,29.0,1.0,,,,,,,,,,,
theo-majette,Theo Majette,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,,
traveon-samuel,Traveon Samuel,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,12.0,0.0,21.0,2.0,9.0,9.0,1.0,0.0,9.0,0.0,1.0,,,,
tyler-lauenstein,Tyler Lauenstein,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,2.6,15.0,16.0,1.0,42.0,,,,,,
