player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
adam-turcotte,Adam Turcotte,P,1.0,,,,,,1.0,,1.0,,,,,,
alex-donadio,Alex Donadio,P,1.0,,,4.0,3.0,,,,,,,3.0,,22.0,47.0
benjamin-sadok,Benjamin Sadok,P,3.0,1.0,,32.0,42.0,,,3.0,2.0,,,45.0,3.0,165.0,424.0
brendan-mccann,Brendan McCann,P,5.0,1.0,,20.0,24.0,,2.0,1.0,2.0,18.0,,25.0,,80.0,223.0
chris-bartoli,Chris Bartoli,P,2.0,5.0,,3.0,5.0,,1.0,,,,,5.0,,118.0,14.0
cole-davis-brand,Cole Davis-Brand,P,1.0,,,23.0,22.0,,,3.0,,,,24.0,2.0,90.0,134.0
cole-moore,Cole Moore,P,,,,11.0,11.0,,1.0,1.0,1.0,,,11.0,,85.0,134.0
colin-sunde,Colin Sunde,P,2.0,,,11.0,17.0,,,2.0,1.0,,,17.0,,22.0,128.0
daniel-wong,Daniel Wong,P,,,,,,1.0,,1.0,,,,,1.0,,
dax-miller,Dax Miller,P,,,,,,,1.0,,,,,,3.0,,
gabe-colton,Gabe Colton,P,,,,7.0,6.0,,,,,2.0,,6.0,,73.0,-11.0
geoff-bevan,Geoff Bevan,P,2.0,,,,,,,,2.0,5.0,,,,,
gustav-haflin,Gustav Haflin,P,,2.0,,6.0,7.0,,1.0,1.0,,,,8.0,1.0,74.0,38.0
ivan-tran,Ivan Tran,P,,1.0,,4.0,6.0,,,1.0,,,,6.0,,25.0,59.0
james-carr-pries,James Carr-Pries,P,,,,2.0,2.0,,,,,,,2.0,,31.0,15.0
james-lewis,James Lewis,P,2.0,1.0,,,,,,,,,,,,,
jared-morrow,Jared Morrow,P,,,,,,1.0,,,,2.0,,,,,
jeremy-hill,Jeremy Hill,P,,,,,,,2.0,2.0,,,,,,,
justin-cheung,Justin Cheung,P,,,,2.0,1.0,,1.0,,,,,1.0,,46.0,5.0
keith-mcrae,Keith McRae,P,,2.0,,,,,2.0,,,,,,,,
kelvin-huang,Kelvin Huang,P,,,,,,,,1.0,,,,,,,
kevin-jay,Kevin Jay,P,,,,,,,,,,,,,1.0,,
luc-comire,Luc Comire,P,,,,,,,1.0,,,,,,,,
nathanial-dick,Nathanial Dick,P,1.0,,,19.0,17.0,,,4.0,,,,20.0,2.0,42.0,172.0
oren-binnun,Oren Binnun,P,1.0,1.0,,16.0,20.0,,,,,,,22.0,2.0,139.0,67.0
orion-cable,Orion Cable,P,1.0,,,15.0,7.0,,6.0,2.0,,,,9.0,2.0,336.0,22.0
oscar-stonehouse,Oscar Stonehouse,P,,,,,,,,1.0,,,,,,,
owen-robinson,Owen Robinson,P,,,,3.0,4.0,,,,,,,4.0,,31.0,24.0
phil-turner,Phil Turner,P,,,,,,,,1.0,,,,,,,
phillip-joyce,Phillip Joyce,P,,1.0,,2.0,,,1.0,,,2.0,,1.0,1.0,21.0,
ray-tetreault,Ray Tetreault,P,,,,5.0,4.0,,1.0,,,,,4.0,,50.0,26.0
rocco-linehan,Rocco Linehan,P,4.0,2.0,1.0,13.0,15.0,,1.0,1.0,1.0,2.0,,18.0,3.0,107.0,152.0
rui-carvalho,Rui Carvalho,P,1.0,,,,,,,1.0,,,,,1.0,,
ryan-poloz,Ryan Poloz,P,,,,,,,,2.0,,,1.0,,,,
ryan-woodhouse,Ryan Woodhouse,P,,1.0,,,,,,,,,,,,,
simon-carapella,Simon Carapella,P,1.0,,,11.0,5.0,1.0,5.0,1.0,,,,6.0,,138.0,39.0
tanner-halkyard,Tanner Halkyard,P,2.0,,,15.0,12.0,1.0,2.0,2.0,,,,13.0,1.0,202.0,119.0
topher-davis,Topher Davis,P,,1.0,,5.0,5.0,,2.0,,,2.0,,5.0,,4.0,32.0
ty-barbieri,Ty Barbieri,P,,1.0,,,,1.0,,,,,,,,,
tyler-chan,Tyler Chan,P,1.0,2.0,,11.0,9.0,1.0,2.0,1.0,,,,10.0,1.0,118.0,23.0
