player_id,player_name,positions,fumble_recoveries,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,,1.0,,,,,,,1.0,127.0,,
alex-ellis,Alex Ellis,TE,,,,,,,8.0,1.0,,,,
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,2.0
anthoula-kelly,Anthoula Kelly,CB/DB,,,,,,,,,,,1.0,2.0
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,1.0,29.0,5.0,,,,
caevon-patton,Caevon Patton,DL/DE,,,,,,,,,,,,6.0
cameron-lewis,Cameron Lewis,DB,,,,,,,,,,,,1.0
charleston-rambo,Charleston RAMBO,WR,,,,,,,63.0,3.0,,,,
chris-blair,Chris Blair,WR,,,,,,1.0,139.0,5.0,,,,
cody-latimer,Cody Latimer,TE,,,,,,1.0,93.0,7.0,,,,
deriq-king,D\'Eriq King,QB,,,,1.0,12.0,,,,,20.0,,
dan-williams,Dan Williams,WR,,1.0,,,,,47.0,4.0,,,,
davin-bellamy,Davin Bellamy,DL/DE,,,,,,,,,,,1.0,4.0
dejuan-neal,DeJuan Neal,CB/DB,,,,,,,,,,,,6.0
deddrick-thomas,Deddrick Thomas,WR,,,,,,,10.0,2.0,,,,
defenders-dst,Defenders DST,DST,2.0,,,,,,,,,,3.0,
defenders-qb,Defenders QB,QB,,,,4.0,297.0,,,,,43.0,,
devin-darrington,Devin Darrington,RB,,,,,,,16.0,1.0,,17.0,,
eli-rogers,Eli Rogers,WR,,1.0,,,,,25.0,4.0,,,,
fadol-brown,Fadol Brown,DL/DE/DT,,,,,,,,,,,1.0,7.0
francis-bernard,Francis Bernard,LB,,,,,,,,,,,,5.0
gerald-willis,Gerald Willis,DL,1.0,,,,,,,,,,,4.0
guardians-dst,Guardians DST,DST,1.0,,,,,,,,,,1.0,
guardians-qb,Guardians QB,QB,,,,3.0,328.0,,,,3.0,22.0,,
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,1.0,3.0
jacub-panasiuk,Jacub Panasiuk,DL,,,1.0,,,,,,,,,2.0
jah-maine-martin,Jah-Maine Martin,RB,,,,,,,-3.0,1.0,,52.0,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,3.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,,2.0
jequez-ezzard,Jequez Ezzard,WR,,,,,,,12.0,1.0,,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,3.0,285.0,,,,,23.0,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,1.0,26.0,2.0,,,,
joseph-wallace,Joseph Wallace,DL/DT,1.0,,,,,,,,,,,3.0
josh-hammond,Josh Hammond,WR,,,,,,,30.0,4.0,,,,
kd-cannon,K.D. Cannon,WR,,,,,,1.0,41.0,1.0,,,,
kentrell-brice,Kentrell Brice,SAF/DB,,,,,,,,,,,,3.0
logan-carter,Logan Carter,TE,,,,,,,3.0,1.0,,,,
lucky-jackson,Lucky Jackson,WR,,,,,,2.0,60.0,4.0,,,,
marcus-murphy-2,Marcus Murphy,DB,,,1.0,,,,,,,,,2.0
matt-elam,Matt Elam,DB,,,,,,,,,,,,8.0
michael-joseph,Michael Joseph,CB/DB,1.0,,1.0,,,,,,,,,4.0
najeem-hosein,Najeem Hosein,DB,,,,,,,,,,,,7.0
nick-coe,Nick Coe,DL,,,,,,,,,,,,1.0
quinten-dormady,Quinten Dormady,QB,,,,3.0,328.0,,,,3.0,22.0,,
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,,,25.0,,
santos-ramirez,Santos Ramirez,SAF/DB,,,1.0,,,,,,,,,6.0
shaquille-wiggins,Shaquille Wiggins,DB,,,,,,,,,,,,2.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,,,,,2.0
terrance-plummer,Terrance Plummer,LB,,,1.0,,,,,,,,,7.0
terrance-smith,Terrance Smith,LB,,,,,,,,,,,,5.0
