player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,,10.0,1.0,,
adam-kruse,Adam Kruse,QB,0.0,0.0,29.0,,,,0.0,2.0
dalton-cole,Dalton Cole,QB,1.0,4.0,247.0,,,,0.0,-2.0
devon-williams,Devon Williams,RB/P/TE/WR,,,,1.0,31.0,4.0,0.0,8.0
kris-lewis,Kris Lewis,WR,,,,2.0,81.0,5.0,,
ledarian-mcallister,Ledarian Mcallister,WR,,,,2.0,21.0,4.0,0.0,5.0
marquis-sampson,Marquis Sampson,WR,,,,1.0,69.0,6.0,,-1.0
parker-lapsley,Parker Lapsley,RB,,,,,,,0.0,22.0
richy-anderson,Richy Anderson,WR,,,,1.0,81.0,7.0,,
tyler-cooperwood,Tyler Cooperwood,WR,,,,,16.0,2.0,,
