player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.5,0.0,,
anthony-webb,Anthony Webb,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,5.0,,,,
arland-bruce-iv,Arland Bruce IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,29.0,3.0,94.0,6.0,2.7,6.0,3.0,0.0,8.0,,,,,,,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,30.0,1.0,45.0,3.0,,,,,,,,,,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
cj-cain,CJ Cain,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,18.0,0.0,35.0,2.0,,,,,,,,0.0,1.0,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8.0,0.0,20.0,3.0,1.5,14.0,11.0,0.0,16.0,,,1.0,1.0,,,,
caleb-streat,Caleb Streat,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,5.0,,,,
charles-reid,Charles Reid,DB,,,,,,,,,,,,,,4.0,50.0,0.0,1.0,200.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
david-brown-jr,David Brown Jr.,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
devery-smith,Devery Smith,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,2.0,,,,
dreko-statham,Dreko Statham,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,1.0,3.0,6.0,1.0,0.0,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,,,0.0,,,,,,,,,,,,18.0,12.0,,30.0,5.0,182.0,,,,,,2.4,12.0,9.0,1.0,22.0,,,,,,,,
james-gray,James Gray,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,,
