player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
brian-lewerke,Brian Lewerke,QB,,,,0.0,,,1.0,82.0,,,,,0.0,13.0,
bryce-perkins,Bryce Perkins,QB,,,,0.0,,,1.0,106.0,,,,,0.0,55.0,
case-cookus,Case Cookus,QB,,,,1.0,,,1.0,179.0,,,,,0.0,8.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,1.0,21.0,1.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,2.0,86.0,3.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,,0.0,14.0,3.0,0.0,33.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,0.0,44.0,2.0,,,
devin-gray,Devin Gray,WR,,,,,,,,,,1.0,84.0,6.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,,0.0,0.0,0.0,,,
jake-bates,Jake Bates,K/PK,,,,,,1.0,,,,,,,,,
jared-thomas,Jared Thomas,C/OC,1.0,1.0,,,,,,,,,,,,,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,0.0,0.0,0.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,0.0,11.0,1.0,,,
josh-love,Josh Love,QB,,,,0.0,,,1.0,56.0,,,,,0.0,-3.0,
marcus-simms,Marcus Simms,WR,,,,,,,,,,0.0,5.0,1.0,,,
matt-coghlin,Matt Coghlin,K,,,92.0,,,,,,,,,,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,,0.0,7.0,1.0,2.0,93.0,
panthers-dst,Panthers DST,DST,,,,,1.0,,,,18.0,,,,,,4.0
panthers-k,Panthers K,K,,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,0.0,,,2.0,188.0,,,,,0.0,68.0,
showboats-k,SHOWBOATS K,K,,,92.0,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,1.0,,,2.0,235.0,,,,,0.0,5.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,0.0,55.0,5.0,,,
samson-nacua,Samson Nacua,WR,,,,,,,,,,0.0,39.0,2.0,,,
showboats-dst,Showboats DST,DST,,,,,0.0,,,,24.0,,,,,,1.0
terry-wright,Terry Wright,WR,,,,,,,,,,0.0,12.0,1.0,,,
titus-swen,Titus Swen,RB,,,,,,,,,,,,,0.0,2.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,,0.0,20.0,1.0,,,
vinny-papale,Vinny Papale,WR,,,,,,,,,,0.0,25.0,5.0,,,
