player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
antonio-wimbush,Antonio Wimbush,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.0,2.0,1.0,5.0,,,,,,
arland-bruce-iv,Arland Bruce IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,1.0,11.0,1.0,1.3,5.0,3.0,1.0,4.0,,,,,,
carlvainsky-decius,Carlvainsky Decius,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
carson-taylor,Carson Taylor,DE/DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
corey-reed-jr,Corey Reed Jr.,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,14.0,1.0,24.0,2.0,2.5,4.0,2.0,0.0,5.0,,,,,,
davontae-merriweather,Davontae Merriweather,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,,,,
deshon-stoudemire,Deshon Stoudemire,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,5.5,7.0,4.0,0.0,22.0,,,,,,
don-willis,Don Willis,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
gabe-rui,Gabe Rui,K,,,,,1.0,0.0,0.0,,,,,,,,,,,4.0,50.0,0.0,1.0,250.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
hayden-hatcher,Hayden Hatcher,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
irshaad-davis,Irshaad Davis,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,3.0,,,,
isaiah-major,Isaiah Major,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,,,
jamezz-kimbrough,Jamezz Kimbrough,,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
jamichael-rodgers,Jamichael Rodgers,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jarmaine-doubs,Jarmaine Doubs,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
jayden-delaura,Jayden DeLaura,QB,0.0,,,,,,,,1.0,0.0,1.0,0.0,,,,0.0,,,,,,,,,,,,21.0,9.0,,45.0,2.0,122.0,,,,,,2.2,6.0,6.0,1.0,13.0,0.0,0.0,,,,
jayden-horace,Jayden Horace,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,1.0,9.0,1.0,,,,,,,,,,,
joe-foucha,Joe Foucha,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,6.0,1.0,0.0,,
john-pius,John Pius,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
josh-ellison,Josh Ellison,,2.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
