player_id,player_name,positions,dst_touchdowns,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,4.0,1.0,1.0,70.0,,
alexander-hollins,Alexander HOLLINS,WR,,,,,,,,,0.0,68.0,3.0,,,,
andrew-harris,Andrew Harris,RB,,,,0.0,,0.0,0.0,,0.0,13.0,1.0,0.0,9.0,,
bc-dst,BC DST,DST,,,,,,,,45.0,,,,,,3.0,
bc-qb,BC QB,QB,,,,6.0,,3.0,388.0,,,,,,8.0,,
boris-bede,Boris Bede,K,,5.0,129.0,,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,,0.0,76.0,6.0,,,,
cameron-dukes,Cameron Dukes,QB,,,,,,,,,,,,1.0,2.0,,
chad-kelly,Chad KELLY,QB,,,,0.0,,1.0,249.0,,,,,0.0,25.0,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,1.0,47.0,4.0,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,,,0.0,16.0,2.0,,,,
david-mackie,David Mackie,FB/RB,,,,,,,,,0.0,16.0,1.0,0.0,-2.0,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,,14.0,2.0,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,0.0,54.0,3.0,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,,,,0.0,2.0,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,2.0,65.0,3.0,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,0.0,31.0,2.0,,,,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,,0.0,81.0,4.0,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,1.0,104.0,8.0,,,,
kienan-lafrance,Kienan LaFrance,RB,,,,,,,,,,,,0.0,22.0,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,25.0,4.0,,,,
sean-whyte,Sean WHYTE,K,,3.0,46.0,,,,,,,,,,,,
tj-lee,TJ LEE,DB,,,,,,,,,,,,,,,6.0
tor-dst,TOR DST,DST,2.0,,,,6.0,,,24.0,,,,,,3.0,
tor-qb,TOR QB,QB,,,,,,1.0,249.0,,,,,,34.0,,
taquan-mizzell,Taquan Mizzell,RB,,,,,,,,,0.0,23.0,3.0,0.0,22.0,,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,6.0,,3.0,388.0,,,,,,8.0,,
