player_id,player_name,positions,1pt_conversion,blocked_punt,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-mccarron,AJ McCarron,QB,1.0,,1.0,,,0.0,,1.0,,2.0,213.0,,,,,0.0,1.0,
alex-ellis,Alex Ellis,TE,,,,,,,,,,,,,0.0,18.0,2.0,,,
andre-szmyt,Andre Szmyt,K,,,,149.0,,,,,,,,,,,,,,
battlehawks-dst,Battlehawks DST,DST,,2.0,,,,,3.0,,,,,12.0,,,,,,2.0
battlehawks-k,Battlehawks K,K,,,,149.0,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,1.0,,2.0,,,0.0,,1.0,,2.0,213.0,,,,,1.0,12.0,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,,,,,,,1.0,25.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,0.0,10.0,1.0,,,
defenders-dst,Defenders DST,DST,,,,,1.0,,0.0,,,,,45.0,,,,,,3.0
defenders-k,Defenders K,K/QB,,,,,,3.0,,,1.0,1.0,101.0,,,,,0.0,26.0,
deondre-francois,Deondre Francois,QB,,,,,,0.0,,,,0.0,0.0,,,,,,,
hakeem-butler,Hakeem Butler,WR,1.0,,,,,,,,,,,,2.0,147.0,6.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,,0.0,17.0,4.0,1.0,52.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,,0.0,43.0,3.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,3.0,,,,1.0,101.0,,,,,0.0,26.0,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,,0.0,10.0,1.0,,,
kelvin-harmon,Kelvin Harmon,WR,,,,,,,,,,,,,1.0,37.0,4.0,,,
kemari-averett,Kemari Averett,TE,,,,,,,,,,,,,0.0,0.0,0.0,,,
manny-wilkins,Manny Wilkins,QB,,,,,,,,,,,,,,,,1.0,11.0,
marcell-ateman,Marcell Ateman,WR,,,1.0,,,,,,,,,,0.0,6.0,1.0,,,
matthew-mccrane,Matthew McCrane,K,,,,,,,,,1.0,,,,,,,,,
vyncint-smith,Vyncint Smith,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,,,,,,,,1.0,31.0,
