player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
richard-leonard,Richard Leonard,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-lankford,Ryan Lankford,WR,,,,,,,,,,,,,34.0,2.0,5.0,,3.0,40.0,38.0,4.0,,,97.0,,,,,,,,,,,,,,
samuel-hurl,Samuel Hurl,LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,,77.0,4.0,4.0,97.0,261.0,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-thorpe,T.J. Thorpe,WR,,,,,,,,,,,,,13.0,5.0,6.0,,18.0,34.0,,,,,,,,,,,,,,,,,,,
tj-heath,TJ Heath,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-loffler,Taylor Loffler,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrence-frederick,Terrence Frederick,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-flanders,Tim Flanders,RB,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,20.0,,6.0,1.0,1.0,,,,,,
tony-washington,Tony Washington,DL/OL,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trent-corney,Trent Corney,DE/DB,,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,33.0,21.0,1.0,59.0,5.0,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,
