player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
amir-johnson,Amir Johnson,P,0.0,0.0,0.0,1.0,0.0,2.0,0.0
dajuan-summers,Dajuan Summers,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henry-sims,HENRY SIMS,P,3.0,0.0,0.0,0.0,0.0,3.0,0.0
jason-richardson,Jason Richardson,P,3.0,0.0,0.0,3.0,1.0,11.0,2.0
jodie-meeks,Jodie Meeks,P,5.0,2.0,0.0,2.0,0.0,5.0,2.0
kevin-murphy,Kevin Murphy,P,5.0,1.0,0.0,1.0,0.0,3.0,0.0
lucas-mariano,LUCAS MARIANO,P,5.0,2.0,0.0,2.0,0.0,5.0,0.0
larry-sanders,Larry Sanders,P,4.0,0.0,0.0,1.0,0.0,3.0,1.0
leandro-barbosa,Leandro Barbosa,P,6.0,3.0,0.0,4.0,0.0,8.0,0.0
ray-nixon,Ray Nixon,P,5.0,2.0,0.0,0.0,0.0,2.0,2.0
