player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-bazzie,Alex Bazzie,DB/DL,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-ross,Alex Ross,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,,,,,6.0,4.0,7.0,,8.0,9.0,,,,,,8.0,24.0,64.0,,,,,,,,,,
anthony-thompson,Anthony Thompson,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,,,10.0,14.0,1.0,52.0,152.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
chandler-fenner,Chandler Fenner,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-givens,Chris Givens,WR,,,,,,,,,,,,,,,,,7.0,1.0,2.0,,2.0,7.0,30.0,4.0,,,74.0,,,,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,,,6.0,8.0,2.0,28.0,89.0,28.0,5.0,,,109.0,16.0,56.0,106.0,,2.0,12.0,2.0,,,,,,
chris-randle,Chris Randle,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,,,,,,,,,,,,,,10.0,1.0,1.0,,7.0,10.0,,,,,,1.0,5.0,5.0,,,,,,,,,,
clarence-denmark,Clarence Denmark,WR,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
cory-johnson,Cory Johnson,DB/DT,,,2.0,2.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dan-lefevour,Dan LeFevour,QB,,,,,,,,,12.0,5.0,2.0,15.0,,,,42.0,,,,,,,,,,,,2.0,7.0,8.0,,,,,,,,,,
david-ménard,David Ménard,DB,,,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-jones,Derek Jones,DB,,,1.0,2.0,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,12.0,7.0,,42.0,12.0,3.0,,82.0,,,,,,,,,,,,3.0,5.0,10.0,,,,,,,,,,
drake-nevis,Drake Nevis,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyshawn-davis,Dyshawn Davis,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,SB/WR,,,,1.0,1.0,,,,,,,,,,,,43.0,6.0,8.0,,27.0,101.0,,,,,,,,,,,,,,,,,,
ian-wild,Ian Wild,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
