player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,,0.0,38.0,3.0,,,
bc-dst,BC DST,DST,,,,,,27.0,,,,,,7.0
bc-k,BC K,K,5.0,13.0,,,,,,,,,,
bc-qb,BC QB,QB,,,0.0,1.0,308.0,,,,,2.0,36.0,
bralon-addison,Bralon ADDISON,WR,,,,,,,0.0,132.0,11.0,0.0,3.0,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,0.0,23.0,3.0,0.0,28.0,
dustin-crum,Dustin CRUM,QB,,,0.0,1.0,307.0,,,,,2.0,58.0,
eugene-lewis,Eugene LEWIS,WR,,,,,,,0.0,2.0,1.0,,,
james-butler,James BUTLER,RB,,,,,,,0.0,18.0,2.0,1.0,44.0,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,0.0,59.0,5.0,,,
justin-hardy,Justin HARDY,WR,,,,,,,1.0,100.0,9.0,0.0,2.0,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,0.0,73.0,4.0,,,
kalil-pimpleton,Kalil PIMPLETON,WR,,,,,,,0.0,11.0,1.0,,,
keelan-white,Keelan WHITE,WR,,,,,,,0.0,21.0,2.0,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,1.0,97.0,5.0,,,
lewis-ward,Lewis Ward,K,1.0,71.0,,,,,,,,,,
nathan-rourke,Nathan ROURKE,QB,,,0.0,1.0,308.0,,,,,2.0,36.0,
ott-dst,OTT DST,DST,,,,,,38.0,,,,,,1.0
ott-k,OTT K,K,1.0,71.0,,,,,,,,,,
ott-qb,OTT QB,QB,,,0.0,1.0,307.0,,,,,2.0,58.0,
sean-whyte,Sean WHYTE,K,5.0,13.0,,,,,,,,,,
stanley-berryhill,Stanley BERRYHILL,WR,,,,,,,,12.0,1.0,,,
william-stanback,William STANBACK,RB,,,,,,,0.0,18.0,3.0,0.0,1.0,
