player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,1.0,,,,,,1.0,,,,,,,,0.0,9.0,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,1.0,81.0,3.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,0.0,6.0,1.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,1.0,61.0,7.0,0.0,18.0,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,1.0,89.0,4.0,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,,,,0.0,16.0,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,1.0,2.0,
defenders-dst,Defenders DST,DST,,,,1.0,,1.0,,,,,33.0,,,,,,5.0
defenders-k,Defenders K,QB/K,1.0,1.0,20.0,,1.0,,,1.0,3.0,308.0,,,,,1.0,37.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,0.0,5.0,1.0,1.0,32.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,1.0,78.0,3.0,,,
holton-ahlers,Holton Ahlers,QB,,1.0,,,,,,,,,,,,,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,0.0,67.0,3.0,,,
javonta-payton,JaVonta Payton,WR,,2.0,,,,,,,,,,0.0,26.0,1.0,,,
javon-antonio,Javon Antonio,WR,,1.0,,,,,,,,,,0.0,33.0,4.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,0.0,33.0,3.0,,,
jordan-taamu,Jordan Ta\'amu,QB,1.0,1.0,,,1.0,,,,3.0,308.0,,,,,1.0,37.0,
kalen-ballage,Kalen Ballage,RB,,,,,,,1.0,,,,,0.0,-4.0,3.0,1.0,79.0,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
lucas-havrisik,Lucas Havrisik,PK/K,,,128.0,,,,,,,,,,,,,,
luis-perez,Luis Perez,QB,,3.0,,,1.0,,,,1.0,268.0,,,,,0.0,10.0,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
matthew-mccrane,Matthew McCrane,K,,,20.0,,,,,1.0,,,,,,,,,
renegades-dst,Renegades DST,DST,,,,1.0,,1.0,,,,,37.0,,,,,,2.0
renegades-k,Renegades K,K,,,128.0,,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,,,,1.0,,,,1.0,268.0,,,,,0.0,10.0,
sal-cannella,Sal Cannella,TE,,1.0,,,,,,,,,,0.0,23.0,6.0,,,
seth-green,Seth Green,TE,,,,,,,,,,,,0.0,22.0,2.0,0.0,1.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,0.0,56.0,5.0,,,
