player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
adrian-jefferson,Adrian Jefferson,RB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,1.0,1.0,,
alexander-kekua,Alexander Kekua,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,0.0,45.0,5.0,1.3,3.0,4.0,0.0,5.0,,,,,,,,
alexis-rosario,Alexis Rosario,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,15.0,0.0,44.0,4.0,0.5,2.0,2.0,0.0,1.0,,,,,,,,
daizion-carroll,Daizion Carroll,OL,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,3.0,,14.0,0.0,32.0,,,,,,,7.0,7.0,1.0,0.0,7.0,,,1.0,1.0,,,,
damian-francis,Damian Francis,ATH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,3.0,1.5,4.0,,
davonte-brown,Davonte Brown,DB,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.5,7.0,,
deshawnte-lloyd,Deshawnte Lloyd,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,17.0,1.0,45.0,4.0,-5.0,0.0,1.0,0.0,-5.0,,,,,,,,
devontae-tinsley,Devontae Tinsley,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,27.0,1.0,86.0,4.0,,,,,,,,1.0,1.0,,,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,4.0,1.0,0.0,,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
dustin-hurst,Dustin Hurst,OL,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.5,0.0,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,20.0,45.0,1.0,60.0,3.0,-1.0,0.0,1.0,0.0,-1.0,,,,,,,0.0,0.0
jerrime-neal,Jerrime Neal,WR,,,,4.0,34.0,3.0,,,,,,,,,,,11.0,54.3,3.0,2.0,326.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
jerry-harris-jr,Jerry Harris Jr.,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,4.0,5.0,2.5,13.0,,
joe-powell,Joe Powell,DB/LB/SAF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,2.0,2.0,2.0,7.0,,
john-williams,John Williams,WR,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,
kam-prewitt,Kam Prewitt,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
keontae-chavies,Keontae Chavies,DL,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,5.0,7.0,1.5,2.0,,
kindred-evans,Kindred Evans,DL,3.0,1.0,0.0,,,,,,,,,23.0,23.0,23.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,4.0,,,,
kollin-jackson,Kollin Jackson,WR,,,,,,,,,,,,,,,,,3.0,50.0,1.0,1.0,200.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
kylan-herrera,Kylan Herrera,RB/WR,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,3.0,,
labarron-mallory,Labarron Mallory,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
maleek-jones,Maleek Jones,WR,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,25.0,17.0,,45.0,2.0,212.0,,,,,,,0.9,8.0,7.0,0.0,6.0,,,,,,,,
marte-sears,Marte Sears,,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,6.7,13.0,0.0,20.0,,,,,,,,4.0,4.0,0.0,4.0,1.0,1.9,7.0,9.0,0.0,17.0,,,,,,,,
mustafa-majeed,Mustafa Majeed,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,
myran-mounds,Myran Mounds,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,0.0,72.0,6.0,,,,,,,,,,,,,
rathel-carter,Rathel Carter,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,22.0,1.0,47.0,4.0,,,,,,,,1.0,1.0,,,,
reggie-young,Reggie Young,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
shyron-rodgers,Shyron Rodgers,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5.0,7.0,0.5,1.0,,
team-stat,Team Stat,ATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,15.0,0.0,31.0,3.0,,,,,,,,,,,,,
traveon-samuel,Traveon Samuel,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
tyler-clark,Tyler Clark,DL/DT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,
tyron-laughinghouse,Tyron Laughinghouse,ATH/WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,6.0,1.0,2.0,,
xzavier-crawford-injured-reserve,Xzavier Crawford (Injured Reserve),WR,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,23.0,15.0,,27.0,2.0,198.0,,,,,,,2.1,9.0,8.0,1.0,17.0,,,,,,,,
yuka-onya,Yuka Onya,DL,,,,,,,,,,,,,,,,1.0,,,,,,,21.0,21.0,0.0,21.0,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
zachary-schleuger,Zachary Schleuger,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
