player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
andre-white-jr,Andre White Jr.,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
asi-tupua,Asi Tupua,DL,,,,,,,,,,1.0,,,,,,,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,
brandon-munoz,Brandon Munoz,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
byron-cooper,Byron Cooper,LB,,,,,,,3.0,1.0,0.0,,,,,,,,,,,,17.0,11.0,,26.0,3.0,124.0,,,,,,4.0,11.0,12.0,2.0,48.0,,,,,,
cameron-george,Cameron George,DL,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,11.0,1.0,0.0,,
carlton-watkins,Carlton Watkins,DB,,3.0,24.0,2.0,,,,,,,12.0,50.0,0.0,5.0,400.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
chase-alisauckas,Chase Alisauckas,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,3.5,17.0,20.0,1.0,70.0,,,,,,
demario-mays,Demario Mays,DB,0.0,,,,2.0,0.0,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,,,,,8.0,8.0,0.0,8.0,1.0,15.3,45.0,8.0,2.0,122.0,1.0,1.0,,,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,36.0,1.0,63.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,
devonte-omalley,Devonte O\'MALLEY,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,1.0,0.0,,
drew-prohaska,Drew Prohaska,RB,,,,,,,,,0.0,,,,,,,,,,,,20.0,11.0,,36.0,3.0,162.0,,,,,,7.1,24.0,8.0,1.0,57.0,,,,,,
fred-flavors,Fred Flavors,,1.0,,,,,,,,,4.0,,,,,,,13.0,15.0,0.0,52.0,,,,,,,,,,,,,,,,,8.0,9.0,,,,
fred-hardgrove,Fred Hardgrove,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,26.0,1.0,30.0,2.0,-1.0,0.0,1.0,0.0,-1.0,,,,,,
gabriel-reed,Gabriel Reed,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
grant-russell-injured-reserve,Grant Russell (Injured Reserve),QB,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,20.0,2.0,78.0,7.0,1.0,1.0,1.0,0.0,1.0,,,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,36.0,2.0,92.0,7.0,3.0,3.0,1.0,0.0,3.0,,,,,,
jalen-hicks,Jalen Hicks,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
james-pitre,James Pitre,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
javon-hayes,Javon Hayes,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,
josh-gable,Josh Gable,,,1.0,21.0,1.0,,,,,,,8.0,44.9,0.0,2.0,404.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
klayton-batten,Klayton Batten,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,
markel-roby,Markel Roby,S/SAF,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,4.0,,,,
robi-stuart,Robi Stuart,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
sam-hammond,Sam Hammond,DL,,,,,,,,,,1.0,,,,,,,22.0,22.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,
shane-meerbott,Shane Meerbott,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
terrence-jackson-jr,Terrence Jackson Jr,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tracy-brooks,Tracy Brooks,RB,1.0,,,,1.0,0.0,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,1.0,2.0,1.0,0.0,,
trey-taylor,Trey Taylor,P,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
tyre-williams,Tyre Williams,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
