player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
bc-dst,BC DST,DST,,,,,,,26.0,,,,,,3.0
bc-k,BC K,K,,108.0,,,,,,,,,,,
bc-qb,BC QB,QB,,,0.0,,0.0,284.0,,,,,16.0,16.0,
chad-kelly,Chad KELLY,QB,,,0.0,,2.0,197.0,,,,,0.0,5.0,
chase-brice,Chase BRICE,QB,,,0.0,,0.0,163.0,,,,,0.0,4.0,
damonte-coxie,Damonte COXIE,WR,,,,,,,,0.0,77.0,6.0,,,
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,65.0,7.0,,,
isaiah-smith,Isaiah SMITH,RB,,,,,,,,0.0,14.0,1.0,0.0,19.0,
jack-cassar,Jack CASSAR,LB,,,,,,,,0.0,10.0,1.0,,,
james-butler,James BUTLER,RB,,,,,,,,0.0,36.0,3.0,0.0,40.0,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,0.0,89.0,6.0,,,
kaidon-salter,Kaidon SALTER,QB,,,0.0,,0.0,121.0,,,,,0.0,12.0,
keon-hatcher,Keon HATCHER,WR,,,,,,,,0.0,64.0,6.0,,,
kevin-mital,Kevin Mital,WR,,,,,,,,0.0,37.0,5.0,0.0,6.0,
kieran-poissant,Kieran POISSANT,WR,,,,,,,,0.0,30.0,3.0,,,
makai-polk,Makai POLK,WR,,,,,,,,2.0,91.0,4.0,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,0.0,,0.0,134.0,,,,,0.0,28.0,
nick-cenacle,Nick CENACLE,WR,,,,,,,,0.0,0.0,0.0,,,
samuel-hicks,Samuel Hicks,RB,,,,,,,,0.0,20.0,2.0,0.0,5.0,
sean-whyte,Sean WHYTE,K,,108.0,,,,,,,,,,,
tor-dst,TOR DST,DST,,,,,,,12.0,,,,,,4.0
tor-k,TOR K,K,2.0,156.0,,1.0,,,,,,,,,
tor-qb,TOR QB,QB,,,0.0,,2.0,331.0,,,,,0.0,33.0,
tyler-kahmann,Tyler Kahmann,WR,,,,,,,,0.0,17.0,2.0,,,
zander-horvath,Zander HORVATH,RB,,,,,,,,0.0,37.0,2.0,0.0,3.0,
