player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,,,,25.0,1.0,1.0,,25.0,25.0,,,,,,,,,,,,,,,,,,,,
anthony-orange,Anthony Orange,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,,40.0,25.0,3.0,,,,2.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-smith,Brandon Smith,LB/DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,1.0,,1.0,,,,,,,,,,,15.0,8.0,9.0,,54.0,66.0,,,,,,12.0,11.0,,60.0,,,,,,,,,,,
charlie-power,Charlie Power,RB,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
christion-jones,Christion Jones,RB,,,,,,,,,,,,,,,,,,,,,,,28.0,6.0,,,133.0,,,,,,,,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,1.0,,1.0,,,,,,,,,,,14.0,5.0,5.0,,20.0,53.0,,,,,,,,,,,,,,,,,,,,
cordarro-law,Cordarro Law,DB/DL,,,1.0,4.0,,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,1.0,,,2.0,1.0,2.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,16.0,4.0,7.0,,11.0,32.0,,,,,,,,,,,,,,,,,,,,
dasean-downey,Da\'Sean Downey,LB/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,,,1.0,4.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,1.0,28.0,,4.0,,4.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
