player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,1.0,3.0,,3.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-bowman,Adarius Bowman,SB/WR,,,,,,,,,,,,,,,,15.0,4.0,6.0,,12.0,40.0,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-pipkin,Antonio Pipkin,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,,,,,,
avery-williams,Avery Williams,LB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,,,11.0,2.0,6.0,,,22.0,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,95.0,3.0,2.0,10.0,245.0,,,,,,,5.0,,,,,,2.0,2.0,2.0
brad-sinopoli,Brad Sinopoli,WR,,,1.0,,1.0,,,,,,,,,,,27.0,8.0,11.0,,30.0,83.0,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chip-cox,Chip Cox,LB,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,1.0,,5.0,1.0,5.0,37.0,,,,,,,,,,16.0,1.0,1.0,,15.0,16.0,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
danny-mason,Danny Mason,DL/DB,,1.0,2.0,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,,,,,19.0,6.0,9.0,,42.0,74.0,13.0,2.0,,,10.0,,,,,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,4.0,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,,,,17.0,7.0,7.0,,26.0,77.0,,,,,,,,,,,,,,,,,,,,
