player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
b-phelenyane,B Phelenyane,,2.0,0.0,0.0,6.0,0.0,0.0,24.0,0.0,1.0,12.0,0.0,5.0,1.0
b-tlali,B Tlali,,6.0,0.0,0.0,3.0,0.0,0.0,24.0,1.0,1.0,6.0,0.0,1.0,1.0
e-mulenga,E Mulenga,,,,,,,,12.0,0.0,0.0,9.0,0.0,1.0,1.0
f-chenda,F Chenda,,38.0,0.0,0.0,1.0,14.0,0.0,,,,,,,1.0
km-molapo,KM Molapo,,9.0,0.0,0.0,1.0,3.0,0.0,,,,,,,1.0
l-mating,L Mating,,10.0,0.0,1.0,7.0,7.0,0.0,,,,,,,1.0
l-polaki,L Polaki,,,,,,,,24.0,0.0,2.0,12.0,1.0,1.0,1.0
m-chabula,M Chabula,,,,,,,,24.0,0.0,0.0,18.0,1.0,2.0,1.0
m-kachingo,M Kachingo,,,,,,,,24.0,0.0,0.0,20.0,2.0,7.0,1.0
m-mohapi,M Mohapi,,8.0,0.0,0.0,8.0,8.0,0.0,,,,,,,1.0
ma-nyabela,MA Nyabela,,36.0,0.0,0.0,5.0,18.0,0.0,24.0,1.0,0.0,8.0,2.0,1.0,1.0
n-chabula,N Chabula,,1.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,15.0,2.0,3.0,1.0
p-chabuta,P Chabuta,,,,,,,,12.0,0.0,0.0,8.0,1.0,5.0,1.0
p-munsanda,P Munsanda,,19.0,0.0,0.0,3.0,5.0,0.0,,,,,,,1.0
p-pheko,P Pheko,,8.0,0.0,0.0,2.0,2.0,0.0,,,,,,,1.0
r-limema,R Limema,,1.0,0.0,1.0,9.0,0.0,0.0,24.0,0.0,0.0,9.0,0.0,4.0,1.0
rithika-sriram,Rithika Sriram,,4.0,0.0,1.0,5.0,2.0,0.0,24.0,0.0,0.0,23.0,1.0,4.0,1.0
t-khabo,T Khabo,,40.0,1.0,0.0,4.0,31.0,0.0,,,,,,,1.0
v-mwansa,V Mwansa,,62.0,0.0,1.0,2.0,8.0,0.0,,,,,,,1.0
