player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-mullen,Alex Mullen,P,,,,2.0,1.0,,,,,,1.0,,7.0,14.0
andrew-sjogren,Andrew Sjogren,P,1.0,0.0,,28.0,26.0,,3.0,3.0,,,27.0,1.0,324.0,83.0
anson-reppermund,Anson Reppermund,P,,0.0,,20.0,17.0,,1.0,2.0,,,19.0,,107.0,60.0
asher-lantz,Asher Lantz,P,,0.0,,11.0,10.0,,1.0,,,,10.0,,168.0,-1.0
benjamin-preiss,Benjamin Preiss,P,3.0,,,22.0,17.0,,2.0,0.0,1.0,,20.0,1.0,184.0,115.0
carl-johnson,Carl Johnson,P/WR,2.0,,,13.0,10.0,0.0,3.0,0.0,,,10.0,0.0,191.0,67.0
charlie-furse,Charlie Furse,P,,,,2.0,2.0,,,,,,2.0,,2.0,13.0
charlie-vukovic,Charlie Vukovic,P,,1.0,,4.0,3.0,,0.0,,,9.0,4.0,1.0,29.0,62.0
chris-graber,Chris Graber,P,,0.0,,4.0,3.0,0.0,1.0,,,,3.0,0.0,91.0,-13.0
christian-johnson,Christian Johnson,P,3.0,,,20.0,16.0,0.0,1.0,0.0,0.0,,19.0,1.0,265.0,134.0
clint-mcsherry,Clint McSherry,P,5.0,0.0,,47.0,56.0,,,0.0,1.0,,61.0,5.0,-120.0,647.0
didzis-malderis,Didzis Malderis,P,,1.0,,13.0,10.0,,2.0,,,0.0,10.0,,112.0,109.0
ian-falck,Ian Falck,P,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0
jace-bruner,Jace Bruner,P,,1.0,,6.0,6.0,,,0.0,,,7.0,,30.0,25.0
jack-shanahan,Jack Shanahan,P,3.0,1.0,,23.0,18.0,,3.0,0.0,1.0,,20.0,2.0,185.0,150.0
jacob-anthuvan,Jacob Anthuvan,P,,0.0,,1.0,1.0,,,,,,1.0,,14.0,-3.0
jake-steslicki,Jake Steslicki,P,2.0,1.0,,22.0,25.0,,,,0.0,,26.0,1.0,39.0,79.0
jerry-kelly,Jerry Kelly,P,,0.0,,,3.0,,,,,,3.0,,,35.0
jesse-johnson,Jesse Johnson,P,,,,5.0,4.0,,2.0,,,,4.0,,72.0,4.0
jimmy-towle,Jimmy Towle,P,0.0,,,28.0,27.0,0.0,1.0,4.0,,,27.0,0.0,318.0,6.0
jonathan-mast,Jonathan Mast,P,1.0,,,43.0,40.0,,3.0,4.0,,,42.0,2.0,156.0,161.0
kenny-furdella,Kenny Furdella,P,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0
luke-brennan,Luke Brennan,P,0.0,1.0,,6.0,7.0,,,,,0.0,8.0,0.0,47.0,135.0
max-sheppard,Max Sheppard,P,3.0,,,20.0,16.0,,3.0,,2.0,,18.0,2.0,326.0,64.0
michael-dillard,Michael Dillard,P,,,,3.0,3.0,,,,,0.0,3.0,0.0,26.0,15.0
mikey-obrien,Mikey O\'Brien,P,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0
milan-rivas,Milan Rivas,P,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
nico-lake,Nico Lake,P,3.0,,,27.0,33.0,,,,,,34.0,,45.0,369.0
noah-celuch,Noah Celuch,P,0.0,,,21.0,25.0,0.0,1.0,1.0,0.0,,25.0,,96.0,119.0
pete-zaccardi,Pete Zaccardi,P,0.0,1.0,,4.0,2.0,,,,,1.0,6.0,3.0,9.0,11.0
reid-martin,Reid Martin,P,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0
ricky-ramirez,Ricky Ramirez,P,,,,0.0,0.0,,,,,,0.0,,0.0,0.0
ryan-kindell,Ryan Kindell,P,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
sam-kaminsky,Sam Kaminsky,P,1.0,,,35.0,45.0,,,4.0,0.0,,45.0,0.0,80.0,277.0
sam-vandusen,Sam VanDusen,P,0.0,1.0,,1.0,2.0,,,,0.0,4.0,4.0,,-4.0,48.0
steve-mogielski,Steve Mogielski,P,,2.0,0.0,2.0,2.0,,0.0,0.0,,,2.0,,12.0,21.0
thomas-hansen,Thomas Hansen,P,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
tyler-mitchuson,Tyler Mitchuson,P,,,,,,,,,,7.0,,,,
wyatt-brooks,Wyatt Brooks,P,,0.0,,1.0,1.0,,0.0,0.0,,,1.0,0.0,9.0,17.0
