player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,,,,,,,,,,,,,,,,,,,,,,,8.7,17.0,0.0,61.0,7.0,0.9,4.0,9.0,1.0,8.0,,,,,,
carlos-vazquez,Carlos Vazquez,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
charles-reid,Charles Reid,DB,,,,,,,6.0,33.2,0.0,0.0,199.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
damian-francis,Damian Francis,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,,
dayjure-stewart,Dayjure Stewart,RB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
demry-croft,Demry Croft,QB,0.0,,,,,3.0,,,,,,,22.3,50.0,1.0,67.0,,,,,,,4.5,5.0,0.0,9.0,2.0,9.0,9.0,1.0,0.0,9.0,1.0,1.0,,,,
desmond-scott,Desmond Scott,DL,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,7.0,,,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,7.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,11.0,,,,
dreko-statham,Dreko Statham,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
emanuel-aquilar-medrano,Emanuel Aquilar-Medrano,K,,,,,,,,,,,,,,,,,,,,,,,5.5,6.0,0.0,11.0,2.0,,,,,,,,,,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,,,,,,,,,,,,,,,,,,,,,,,3.3,5.0,0.0,10.0,3.0,4.0,4.0,1.0,0.0,4.0,,,,,,
james-gray,James Gray,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
jelani-baker,Jelani Baker,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,11.0,4.0,0.0,17.0,,,,,,
jerrime-neal,Jerrime Neal,WR,,1.0,18.0,1.0,,,8.0,45.0,0.0,1.0,360.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0
john-williams,John Williams,WR,3.0,,,,,1.0,,,,,,,6.0,6.0,1.0,6.0,,,3.0,,,,,,,,,,,,,,7.0,10.0,1.0,0.0,,
jordan-barton,Jordan Barton,WR,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,,,,
josiah-silver,Josiah Silver,DL,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,6.0,,,,
kevin-simmons,Kevin Simmons,DB,,,,,,3.0,,,,,,,4.0,10.0,0.0,12.0,,,,,,,9.3,17.0,2.0,37.0,4.0,,,,,,,,,,,
kindred-evans,Kindred Evans,DL,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,5.0,,,,
kyle-griswould,Kyle Griswould,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,1.5,0.0,,
labarron-mallory,Labarron Mallory,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
levonta-hall,Levonta Hall,DB,0.0,,,,,2.0,,,,,,,16.5,33.0,0.0,33.0,,,2.0,,,,,,,,,,,,,,4.0,4.0,,,,
maleek-jones,Maleek Jones,WR,,,,,0.0,,,,,,,,,,,,20.0,12.0,,40.0,2.0,135.0,,,,,,2.9,12.0,9.0,3.0,26.0,,,,,,
mykell-yancie,Mykell Yancie,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.0,,
myran-mounds,Myran Mounds,DB,,,,,,,,,,,,,,,,,,,,,,,25.3,40.0,2.0,101.0,4.0,-1.5,2.0,2.0,0.0,-3.0,,,,,,
naeem-alexander,Naeem Alexander,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,
