player_id,player_name,positions,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,rushing_tds,rushing_yards
cj-jefferson,CJ Jefferson,WR,,,,,0.0,12.0,0.0,11.0
damon-street,Damon Street,WR,,,,,0.0,7.0,,
isaah-crocker,Isaah Crocker,WR,,,,,1.0,34.0,,
jarome-johnson,Ja\'Rome Johnson,QB,,1.0,1.0,61.0,,,1.0,40.0
jalen-may,Jalen May,WR,0.0,,,,1.0,40.0,,
james-cahoon,James Cahoon,QB,,0.0,1.0,53.0,,,,
marquel-wade,MARQUEL WADE,WR,,,,,0.0,13.0,,
redd-douglas,Redd Douglas,WR,,,,,0.0,14.0,,
robinson-jr-jimmie,"Robinson Jr., Jimmie",WR/RB,,,,,,,1.0,7.0
sammy-edwards,Sammy Edwards,QB,,0.0,0.0,14.0,,,0.0,1.0
walter-wilbon-iii,Walter Wilbon III,RB,,,,,,,1.0,24.0
