player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alexander-hollins,Alexander HOLLINS,WR,,,,,,,,,0.0,46.0,5.0,,,,
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,,,,0.0,0.0,0.0,,,,
bc-dst,BC DST,DST,,,,,,,,0.0,,,,,,1.0,
ben-hladik,Ben Hladik,LB,,,,,,,,,,,,,,,2.0
boseko-lokombo,Boseko Lokombo,LB,,,,,,,,,,,,,,,4.0
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,,0.0,7.0,1.0,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,,,,0.0,2.0,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,1.0,63.0,4.0,,,,
edm-dst,EDM DST,DST,,,,,,,,22.0,,,,,,1.0,
emmanuel-rugamba,Emmanuel Rugamba,DB,,,,,,,,,,,,,,,1.0
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,0.0,9.0,1.0,,,,
garry-peters,Garry Peters,DB,,,,,,,,,,,,,,,1.0
jake-ceresna,Jake Ceresna,DB/DL,,,,,,,,,,,,,,,4.0
jeremie-dominique,Jeremie Dominique,DB,,,,,,,,,,,,,,,2.0
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,0.0,10.0,1.0,,,,
josh-banks,Josh Banks,DB/DL,,,,,,,,,,,,,,,1.0
joshua-archibald,Joshua Archibald,DB/DL/DE,,,,,,,,,,,,,,,3.0
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,,0.0,16.0,2.0,,,,
kai-locksley,Kai Locksley,QB,,,,,,,,,,,,0.0,3.0,,
kevin-brown,Kevin BROWN,RB,,,,1.0,,,,,0.0,18.0,2.0,0.0,41.0,,
loucheiz-purifoy,Loucheiz Purifoy,DB,,,,,,,,,,,,,,,1.0
mathieu-betts,Mathieu Betts,DB/DL/DE,,,,,,,,,,,,,,,1.0
quincy-mauger,Quincy Mauger,DB,,,,,,,,,,,,,,,2.0
sean-whyte,Sean WHYTE,K,1.0,203.0,,,1.0,,,,,,,,,,
shannon-brooks,Shannon Brooks,RB,,,,,,,,,,,,0.0,0.0,,
tj-lee,T.J. Lee,DB,,,,,,,,,,,,,,,2.0
taquan-mizzell,Taquan Mizzell,RB,,,,,,,,,0.0,23.0,4.0,0.0,93.0,,
taylor-cornelius,Taylor Cornelius,QB,,,0.0,,,0.0,103.0,,,,,,8.0,,0.0
tomas-jack-kurdyla,Tomas Jack-Kurdyla,OL,,,,,,,,,,,,,,,2.0
vernon-adams-jr,Vernon ADAMS JR.,QB,,,1.0,,,1.0,324.0,,,,,,11.0,,
vincent-forbes-mombleau,Vincent Forbes-Mombleau,WR,,,,,,,,,0.0,7.0,1.0,,,,
