player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,1.0,,,,,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
asi-tupua,Asi Tupua,DL,,,,,,,,,,,1.0,,,,,,,39.0,39.0,0.0,39.0,,,,,,,7.7,9.0,0.0,23.0,3.0,,,,,,,,,,,
carl-robinson-iii,Carl Robinson III,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,2.0,5.0,,
carlton-watkins,Carlton Watkins,DB,,2.0,26.0,1.0,,,,,,,,7.0,53.3,3.0,0.0,373.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
chris-perry,Chris Perry,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,0.5,0.0,,
cole-lundy,Cole Lundy,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,15.0,1.0,36.0,4.0,2.5,3.0,2.0,1.0,5.0,1.0,1.0,,,,
damond-powell,Damond Powell,WR,0.0,,,,,,,2.0,2.0,,3.0,,,,,,,20.3,23.0,0.0,61.0,,,,,,,8.0,11.0,1.0,24.0,3.0,3.1,17.0,15.0,1.0,46.0,2.0,2.0,,,,
devante-wright,Devante Wright,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,2.7,8.0,9.0,0.0,24.0,,,,,,
devin-groenhagen,Devin Groenhagen,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,1.0,12.0,1.0,1.5,3.0,2.0,0.0,3.0,2.0,3.0,,,,
drew-prohaska,Drew Prohaska,RB,0.0,,,,,,,,,0.0,,,,,,,,,,,,16.0,11.0,,14.0,2.0,89.0,,,,,,4.1,16.0,14.0,2.0,58.0,1.0,1.0,,,,
erick-young,Erick Young,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
fred-bruno,Fred Bruno,WR,1.0,,,,,,,,,0.0,,,,,,,,,,,,22.0,17.0,,18.0,3.0,157.0,,,,,,4.5,11.0,6.0,0.0,27.0,0.0,1.0,,,,
garrett-pemelton,Garrett Pemelton,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,14.0,0.0,23.0,2.0,,,,,,1.0,2.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,5.0,,,,
jd-griggs,JD Griggs,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,7.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,1.0,1.0,,3.0,,,,,,,20.3,37.0,0.0,61.0,,,,,,,6.5,10.0,0.0,26.0,4.0,2.0,2.0,1.0,1.0,2.0,,,,,,
jailin-singleton,Jailin Singleton,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
jalen-hicks,Jalen Hicks,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
jaylon-abdual-karim,Jaylon Abdual-Karim,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,14.0,1.0,59.0,7.0,,,,,,,,,,,
joshua-neal,Joshua Neal,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
juan-moore,Juan Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,18.0,0.0,38.0,3.0,3.5,4.0,2.0,0.0,7.0,,,,,,
kewan-alfred,Kewan Alfred,DL/LB,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
landon-freeman,Landon Freeman,RB,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,0.5,1.0,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,1.0,0.0,0.0,,,,,,,,5.0,51.5,1.0,1.0,309.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
malcolm-mccoy,Malcolm Mccoy,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,6.0,,,,
metoriah-faoliu,Metoriah Faoliu,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
michael-jenkins,Michael Jenkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
quentin-peeples,Quentin Peeples,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
ricardo-barnett,Ricardo Barnett,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,5.0,,,,
ryan-hibbets,Ryan Hibbets,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
sammie-epps,Sammie Epps,WR,1.0,,,,,,,,,,1.0,,,,,,,11.0,11.0,0.0,11.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,
trey-taylor,Trey Taylor,P,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
vincent-wilkerson,Vincent Wilkerson,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,0.5,0.0,,
xaiver-spann,Xaiver Spann,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,6.0,,,,
zuri-davis,Zuri Davis,WR,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.5,1.0,,
