player_id,player_name,positions,4pt_fg,blocked_punt,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,0.0,10.0,1.0,1.0,56.0,
chandler-rogers,Chandler Rogers,QB,,,,,,,1.0,,1.0,1.0,143.0,,,,,,0.0,24.0,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,,,0.0,23.0,2.0,,,
defenders-dst,Defenders DST,DST,,1.0,,,,1.0,,1.0,,,,33.0,,,,,,,3.0
defenders-k,Defenders K,K/QB,,,,3.0,51.0,,3.0,,,1.0,145.0,,,,,,0.0,40.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,1.0,,,,,,,,1.0,15.0,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,,,,0.0,55.0,4.0,,,
ian-wheeler,Ian Wheeler,RB,,,,,,,,,,,,,,,,,0.0,51.0,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,,,1.0,92.0,5.0,0.0,0.0,
james-robinson,James Robinson,RB,,,,,,,,,,,,,,0.0,-1.0,1.0,1.0,59.0,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,,2.0,,,1.0,62.0,,,,,,0.0,13.0,
kaden-prather,Kaden Prather,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,,,0.0,16.0,1.0,,,
louisville-kings-dst,LOUISVILLE KINGS DST,DST/K,1.0,,1.0,2.0,162.0,1.0,,3.0,,,,30.0,,,,,,,4.0
louisville-kings-qb,LOUISVILLE KINGS QB,QB,,,,,,,1.0,,1.0,1.0,143.0,,,,,,0.0,24.0,
lucky-jackson,Lucky Jackson,WR,,,,,,,,,,,,,,0.0,21.0,2.0,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,,,,0.0,0.0,0.0,,,
matt-mccrane,Matt McCrane,K,,,,3.0,51.0,,,,,,,,,,,,,,
spencer-sanders,Spencer Sanders,QB,,,,,,,1.0,,,0.0,83.0,,,,,,0.0,27.0,
tanner-brown,Tanner Brown,K,1.0,,,2.0,162.0,,,,,,,,,,,,,,
tarik-black,Tarik Black,WR,,,,,,,,,,,,,,0.0,31.0,3.0,,,
ty-scott,Ty Scott,WR,,,,,,,,,,,,,,1.0,41.0,1.0,,,
tyler-hudson,Tyler Hudson,WR,,,,,,,,,,,,,1.0,,,,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,,,,,,,1.0,107.0,
