player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
d-dlamini,D Dlamini,,3.0,0.0,0.0,6.0,1.0,0.0,,,,,,,1.0
e-mbofana,E Mbofana,,,,,,,,24.0,0.0,0.0,11.0,6.0,5.0,1.0
k-maseko,K Maseko,,8.0,0.0,1.0,11.0,0.0,0.0,,,,,,,1.0
l-phiri,L Phiri,,,,,,,,8.0,1.0,0.0,1.0,3.0,1.0,1.0
m-dlamini,M Dlamini,,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,1.0
m-mupachikwa,M Mupachikwa,,7.0,2.0,1.0,2.0,13.0,0.0,,,,,,,1.0
n-gwebu,N Gwebu,,8.0,1.0,0.0,3.0,6.0,0.0,,,,,,,1.0
n-khumalo,N Khumalo,,1.0,0.0,0.0,10.0,0.0,0.0,,,,,,,1.0
n-mabila,N Mabila,,1.0,0.0,0.0,7.0,0.0,0.0,,,,,,,1.0
n-sibanda,N Sibanda,,,,,,,,12.0,1.0,0.0,2.0,1.0,1.0,1.0
ntombizodwa-mkhatshwa,Ntombizodwa Mkhatshwa,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0
ntombizonke-mkhatshwa,Ntombizonke MKhatshwa,,20.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,5.0,0.0,1.0,1.0
p-marange,P Marange,,5.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0
s-mabuza,S Mabuza,,2.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0,2.0,1.0
t-malinga,T Malinga,,9.0,0.0,0.0,9.0,1.0,0.0,,,,,,,1.0
w-ginindza,W Ginindza,,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,1.0
