player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aidan-lopez-escarez,Aidan Lopez-Escarez,P,,2.0,13.0,10.0,,,1.0,,1.0,15.0,5.0,97.0,-14.0
antonio-rueda,Antonio Rueda,P,,1.0,18.0,14.0,1.0,2.0,1.0,,,17.0,3.0,173.0,56.0
avi-taylor,Avi Taylor,P,1.0,,1.0,1.0,,,,,,1.0,,11.0,3.0
ben-thoennes,Ben Thoennes,P,,,10.0,9.0,,2.0,,1.0,6.0,11.0,2.0,83.0,91.0
brandon-lin,Brandon Lin,P,,1.0,3.0,2.0,,,1.0,,,3.0,1.0,66.0,-7.0
caeden-newby,Caeden Newby,P,,,,2.0,,,,,,2.0,,,20.0
caleb-campbell,Caleb Campbell,P,1.0,,16.0,14.0,,,1.0,,,16.0,2.0,119.0,39.0
chris-roach,Chris Roach,P,2.0,4.0,11.0,9.0,,4.0,,,14.0,10.0,1.0,176.0,88.0
conner-stillwell,Conner Stillwell,P,,1.0,19.0,15.0,,1.0,,,,18.0,2.0,233.0,102.0
dan-baumgartner,Dan Baumgartner,P,,1.0,2.0,1.0,,1.0,,,,1.0,,12.0,1.0
derek-mourad,Derek Mourad,P,1.0,,7.0,9.0,,,,,,9.0,,54.0,33.0
dominic-jacobs,Dominic Jacobs,P,2.0,3.0,8.0,6.0,,3.0,,,,6.0,,126.0,67.0
emmet-shipway,Emmet Shipway,P,1.0,,14.0,16.0,,,3.0,1.0,,17.0,,41.0,141.0
garrett-martin,Garrett Martin,P,3.0,,23.0,22.0,,3.0,4.0,,,23.0,1.0,247.0,203.0
genichi-nakano,Genichi Nakano,P,1.0,4.0,5.0,4.0,,1.0,,,,6.0,2.0,76.0,24.0
ian-sweeney,Ian Sweeney,P,3.0,2.0,42.0,54.0,,,1.0,1.0,,62.0,8.0,30.0,540.0
jared-johnson,JARED JOHNSON,FB/P/RB,2.0,1.0,39.0,48.0,2.0,2.0,2.0,,,51.0,2.0,258.0,389.0
jack-brown,Jack Brown,P,1.0,1.0,14.0,11.0,,2.0,2.0,1.0,,13.0,2.0,190.0,124.0
jamie-kauffman,Jamie Kauffman,P,,2.0,5.0,3.0,,1.0,1.0,,,4.0,,42.0,20.0
joel-caswell,Joel Caswell,P,1.0,,2.0,2.0,,,,,,2.0,0.0,59.0,-6.0
jonathan-lee,Jonathan Lee,P,1.0,1.0,10.0,11.0,,,2.0,,,13.0,2.0,32.0,116.0
jordan-smith,Jordan Smith,P,1.0,1.0,12.0,11.0,2.0,1.0,,,,13.0,2.0,58.0,18.0
kenny-lane-iii,Kenny Lane III,P,3.0,,18.0,22.0,,,2.0,3.0,11.0,23.0,1.0,79.0,317.0
kota-sugahara,Kota Sugahara,P,1.0,3.0,8.0,15.0,,,1.0,,,15.0,,25.0,119.0
landon-lavoie,Landon Lavoie,P,3.0,1.0,24.0,22.0,1.0,1.0,2.0,2.0,8.0,26.0,4.0,97.0,222.0
lucas-henry,Lucas Henry,P,,,1.0,,,,,,,1.0,,10.0,
marc-munoz,Marc Munoz,P,2.0,,30.0,29.0,,3.0,1.0,1.0,,33.0,4.0,136.0,185.0
martis-artis,Martis Artis,P,,,1.0,1.0,,,1.0,,,1.0,,9.0,11.0
nate-knutson,Nate Knutson,P,,,1.0,,,1.0,,,,,,2.0,
parker-howard,Parker Howard,P,1.0,,9.0,7.0,,1.0,,,,8.0,1.0,66.0,46.0
patrick-buermeyer,Patrick Buermeyer,P,,,,,,,,,1.0,,,,
peter-geertz-larson,Peter Geertz-Larson,P,,1.0,4.0,3.0,,1.0,1.0,1.0,,3.0,,51.0,70.0
quinn-buermeyer,Quinn Buermeyer,P,1.0,,14.0,10.0,1.0,3.0,,,,11.0,1.0,151.0,82.0
ryan-wolfe,Ryan Wolfe,P,1.0,,5.0,5.0,,,,,,5.0,,66.0,1.0
scott-radlauer,Scott Radlauer,P,,3.0,21.0,18.0,,1.0,2.0,,2.0,21.0,1.0,283.0,16.0
spencer-lofink,Spencer Lofink,P,4.0,,21.0,18.0,,4.0,2.0,1.0,,18.0,,178.0,177.0
tommy-lin,Tommy Lin,P,1.0,2.0,13.0,14.0,,1.0,,,,16.0,2.0,25.0,78.0
tony-goss,Tony Goss,P,1.0,,20.0,27.0,,1.0,1.0,,,29.0,2.0,107.0,127.0
zeppelin-raunig,Zeppelin Raunig,P,1.0,1.0,9.0,8.0,,,2.0,,,9.0,1.0,93.0,65.0
