player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-capsey,A Capsey,,,,,,,,12.0,0.0,0.0,19.0,0.0,0.0,,1.0
a-sutherland,A Sutherland,,,,,,,,12.0,0.0,0.0,17.0,0.0,1.0,,1.0
ae-jones,AE Jones,,46.0,5.0,1.0,3.0,44.0,0.0,,,,,,,,1.0
kj-garth,KJ Garth,,,,,,,,12.0,0.0,0.0,9.0,0.0,2.0,,1.0
p-litchfield,P Litchfield,,34.0,7.0,1.0,2.0,50.0,1.0,,,,,,,,1.0
r-mckenna,R McKenna,,,,,,,,6.0,0.0,0.0,6.0,0.0,0.0,,1.0
s-day,S Day,,,,,,,,12.0,0.0,0.0,9.0,0.0,0.0,,1.0
sk-moloney,SK Moloney,,,,,,,,12.0,0.0,0.0,18.0,0.0,0.0,,1.0
t-flintoff,T Flintoff,,,,,,,,16.0,0.0,0.0,21.0,0.0,2.0,1.0,1.0
tt-beaumont,TT Beaumont,,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
