player_id,player_name,positions,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alexandre-fall,Alexandre Fall,P,,1.0,5.0,4.0,2.0,1.0,,,,4.0,,103.0,13.0
andrew-roy,Andrew Roy,P/MPO,1.0,,38.0,45.0,1.0,1.0,,,,46.0,1.0,116.0,355.0
antoine-davis,Antoine Davis,P,,,1.0,1.0,,,,,,1.0,,6.0,9.0
ben-jagt,Ben Jagt,P,,2.0,15.0,13.0,2.0,2.0,1.0,12.0,,13.0,,223.0,77.0
ben-katz,Ben Katz,P,,1.0,2.0,2.0,1.0,1.0,,,,2.0,,2.0,4.0
charles-weinberg,Charles Weinberg,P,2.0,,26.0,24.0,1.0,2.0,,,,25.0,1.0,223.0,121.0
charlie-mccutcheon,Charlie McCutcheon,P,,,5.0,5.0,,,,,,5.0,,45.0,2.0
christian-boxley,Christian Boxley,P,,,17.0,14.0,1.0,1.0,,,,16.0,2.0,178.0,59.0
cole-jurek,Cole Jurek,P,,,16.0,17.0,,,,,,17.0,,97.0,58.0
david-bloodgood,David Bloodgood,P,,,14.0,18.0,,4.0,,,,19.0,1.0,20.0,113.0
david-cranston,David Cranston,P,1.0,1.0,4.0,4.0,,,,,,4.0,,26.0,21.0
ethan-fortin,Ethan Fortin,P,1.0,,4.0,4.0,,1.0,,,,5.0,1.0,,25.0
garrett-braun,Garrett Braun,P,,,4.0,4.0,,,,,,4.0,,4.0,-8.0
jack-williams,Jack Williams,P,2.0,,22.0,24.0,1.0,2.0,1.0,,,27.0,3.0,116.0,234.0
jasper-tom,Jasper Tom,P,,,7.0,5.0,1.0,,,2.0,,6.0,1.0,68.0,23.0
jeff-babbitt,Jeff Babbitt,P,,2.0,20.0,20.0,1.0,2.0,1.0,,,20.0,,117.0,148.0
jeff-holm,Jeff Holm,P,2.0,,3.0,6.0,,,,,,6.0,,-7.0,73.0
jeff-wodatch,Jeff Wodatch,P,3.0,1.0,19.0,18.0,,2.0,1.0,,,19.0,1.0,103.0,146.0
jeremy-knopf,Jeremy Knopf,P,1.0,,14.0,18.0,1.0,2.0,1.0,,,19.0,1.0,129.0,146.0
john-lithio,John Lithio,P,,,19.0,19.0,,2.0,,,,19.0,,199.0,73.0
john-randolph,John Randolph,P,2.0,1.0,14.0,10.0,2.0,,1.0,1.0,1.0,11.0,1.0,152.0,68.0
jonny-malks,Jonny Malks,P,2.0,,51.0,56.0,2.0,5.0,1.0,,,59.0,3.0,261.0,319.0
josue-alorro,Josue Alorro,P,1.0,1.0,5.0,4.0,,,,4.0,,6.0,2.0,42.0,11.0
kevin-healey,Kevin Healey,P,1.0,1.0,12.0,9.0,3.0,,,,,9.0,,232.0,19.0
luke-rehfuss,Luke Rehfuss,P,,,1.0,1.0,,,,,,1.0,,15.0,9.0
marques-brownlee,Marques Brownlee,P,,,2.0,,2.0,,,4.0,,,,39.0,
matt-labar,Matt LaBar,P,,,3.0,2.0,1.0,,,,,2.0,,50.0,17.0
matt-stevens,Matt Stevens,P,,,,1.0,,,,,,1.0,,,7.0
mike-drost,Mike Drost,P,,,4.0,3.0,1.0,,,,,3.0,,35.0,19.0
moussa-dia,Moussa Dia,P,1.0,1.0,7.0,4.0,2.0,,,,,5.0,1.0,79.0,16.0
oliver-chartock,Oliver Chartock,P,2.0,,16.0,23.0,2.0,2.0,1.0,,,24.0,1.0,76.0,279.0
rhys-bergeron,Rhys Bergeron,P,,,1.0,1.0,,,,,,1.0,,-1.0,-6.0
rowan-mcdonnell,Rowan McDonnell,P,3.0,,35.0,30.0,2.0,1.0,2.0,4.0,,33.0,3.0,155.0,246.0
ryan-drost,Ryan Drost,P,,3.0,1.0,4.0,,,,,,4.0,,-4.0,4.0
ryan-osgar,Ryan Osgar,P,8.0,,33.0,28.0,4.0,1.0,2.0,,,30.0,2.0,270.0,223.0
shashank-alladi,Shashank Alladi,P,,1.0,5.0,4.0,1.0,1.0,,,,4.0,,-7.0,22.0
solomon-rueschemeyer-bailey,Solomon Rueschemeyer-Bailey,P,1.0,,29.0,32.0,2.0,3.0,1.0,,,33.0,1.0,189.0,308.0
thomas-edmonds,Thomas Edmonds,P,1.0,,10.0,10.0,,,,14.0,,11.0,1.0,-15.0,41.0
troy-holland,Troy Holland,P,1.0,,5.0,6.0,,,,,,6.0,,5.0,52.0
tyler-monroe,Tyler Monroe,P,3.0,,29.0,25.0,3.0,1.0,,,,26.0,1.0,163.0,158.0
