player_id,player_name,positions,passing_tds,passing_yards,receiving_tds,receiving_yards,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,4.0,70.0,,
adam-kruse,Adam Kruse,QB,,4.0,,,,
darien-townsend,DARIEN TOWNSEND,WR,,,3.0,91.0,,
duane-brown,DUANE  BROWN,K/WR,,,2.0,62.0,,
isaiah-scott,Isaiah Scott,WR,,,,19.0,,
jaiave-magalei,Jaiave Magalei,QB,5.0,141.0,,,1.0,17.0
joshua-kulka,Joshua Kulka,QB,5.0,187.0,,,,
justin-olibrice,Justin Olibrice,WR,,,,4.0,,10.0
quintavius-workman,Quintavius Workman,WR,,,1.0,58.0,,
tyrese-chambers,Tyrese Chambers,WR,,,,15.0,,
undra-hendrix,Undra Hendrix,RB,,,,-2.0,,1.0
